Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR34661426	(1, 0.6283396227630309)	(2, 0.0014546955072451055)	(3, 0.0015324273282429355)	(4, 0.0)	(5, 0.0)	(6, 0.0003220318298481531)	(7, 1.1104545856832866e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0027650319183513835)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 6.611816797664389e-05)	(20, 4.363194649676193e-05)	(21, 0.0004391930893594808)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0002628851859465786)	(27, 0.000334136839616823)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0007466045049286267)	(32, 0.0)	(33, 0.00011035122034655802)	(34, 0.0)	(35, 0.00015439198890847952)	(36, 0.003974446039982927)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0013777675906477135)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0015683322355007686)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0019853349921910156)	(53, 0.012410027302060065)	(54, 0.0)	(55, 0.0)
SRR34661427	(1, 0.6686530316097912)	(2, 0.0014586217150015701)	(3, 0.0013648531761800405)	(4, 0.0)	(5, 2.0837453071451e-05)	(6, 0.00036465542875039253)	(7, 1.04187265357255e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.002542169274717022)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 3.5438841537346395e-05)	(20, 6.223342313201402e-05)	(21, 0.00027455394788966067)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.00031292020713529595)	(27, 0.00018924224094984466)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000631244941273179)	(32, 0.0)	(33, 0.0005370807245756055)	(34, 0.0)	(35, 5.5600313808171136e-05)	(36, 0.003917045414827162)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0010571873287153223)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.00013968002100787517)	(45, 0.0)	(46, 0.0)	(47, 0.0004088282369486696)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0012729340280724383)	(53, 0.008638275534410239)	(54, 0.0)	(55, 0.0)
SRR34661428	(1, 0.6273555892087856)	(2, 0.0014063453422878186)	(3, 0.00137495370518318)	(4, 0.0)	(5, 1.2556654841855525e-05)	(6, 0.00030763804362546034)	(7, 1.8834982262783287e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 6.278327420927762e-06)	(13, 0.0)	(14, 0.0027122374458407933)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 4.2327594416990296e-05)	(20, 6.596073049896653e-05)	(21, 0.0003419503816318237)	(22, 0.0)	(23, 5.1033279311772e-05)	(24, 0.0)	(25, 0.0)	(26, 0.00039951510851279806)	(27, 0.00022156540389157474)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000779654651971909)	(32, 0.0)	(33, 0.0004915400373883226)	(34, 0.0)	(35, 2.8441224645003745e-05)	(36, 0.004649255514714429)	(37, 0.0)	(38, 0.0)	(39, 3.881561148367629e-05)	(40, 0.001196480696434281)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.00013372228689180596)	(45, 0.0)	(46, 0.0)	(47, 0.0004792568068844282)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0001536296542103743)	(52, 0.0018635091367852977)	(53, 0.008282625260902695)	(54, 0.0)	(55, 0.0)
SRR34661429	(1, 0.6380795807837342)	(2, 0.0014655332303836679)	(3, 0.0014461221942196458)	(4, 0.0)	(5, 1.941103616402209e-05)	(6, 0.0002523434701322872)	(7, 9.705518082011044e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0024749071109128164)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 4.342706413721389e-05)	(20, 3.3611166974115484e-05)	(21, 0.0004037715492875855)	(22, 0.0)	(23, 1.27578195865701e-05)	(24, 0.0)	(25, 0.0)	(26, 0.00041136876344753475)	(27, 0.0001694603488972907)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0004066690102851111)	(32, 0.0)	(33, 0.00023465007221355971)	(34, 0.0)	(35, 0.00010839779388809879)	(36, 0.0036846691500291443)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0013719049691980952)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 9.058036652439511e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0006700526661395586)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0002776983252014007)	(53, 0.008215070546918321)	(54, 0.0)	(55, 0.0)
SRR34661430	(1, 0.6551566313269578)	(2, 0.0016516129478954342)	(3, 0.00134869703605435)	(4, 0.0)	(5, 7.212283615263903e-06)	(6, 0.0003101281954563479)	(7, 7.212283615263903e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0028849134461055616)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 8.289642083926492e-06)	(20, 4.358647661568095e-05)	(21, 0.0003772420368346485)	(22, 0.0)	(23, 2.3182210435356118e-05)	(24, 0.0)	(25, 0.0)	(26, 0.00042679482677575347)	(27, 0.00012452435587442093)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0007288188673094701)	(32, 0.0)	(33, 0.0005181770760764553)	(34, 0.0)	(35, 3.773619081833194e-05)	(36, 0.004937533919393503)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0013560073483806913)	(41, 0.0)	(42, 7.209186810936914e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00043315607624124484)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0018946809988758227)	(53, 0.009934926233172717)	(54, 0.0)	(55, 0.0)
SRR34661431	(1, 0.6781704757433515)	(2, 0.0014092763741070065)	(3, 0.0014926655086695514)	(4, 0.0)	(5, 2.501674036876343e-05)	(6, 0.00022515066331887088)	(7, 8.338913456254478e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 8.338913456254478e-06)	(13, 0.0)	(14, 0.0025934020848951424)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 9.616013354719348e-06)	(20, 3.052914643050676e-05)	(21, 0.000494380080695726)	(22, 0.0)	(23, 1.32505790503045e-05)	(24, 0.0)	(25, 0.0)	(26, 0.00033007777622641227)	(27, 0.00012211641706943278)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0007517504509249788)	(32, 0.0)	(33, 0.000355807999534215)	(34, 0.0)	(35, 0.0)	(36, 0.00420795322286181)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.001200129613998312)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.00010549112977835258)	(45, 0.0)	(46, 0.0)	(47, 0.00030156406200760244)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0009649125628399308)	(53, 0.01144638730214102)	(54, 0.0)	(55, 0.0)
SRR34661432	(1, 0.024668142952432904)	(2, 0.08757527815444331)	(3, 0.006113882812890139)	(4, 0.0)	(5, 0.0)	(6, 0.0008141472448038608)	(7, 0.0007104342199880822)	(8, 0.0)	(9, 0.0)	(10, 0.0007934046398407051)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00023026878954498297)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 4.1491813250327574e-05)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)
SRR34661433	(1, 0.024064273733046496)	(2, 0.08748274004287698)	(3, 0.005793682315446068)	(4, 0.0)	(5, 0.0)	(6, 0.0007498254443623931)	(7, 0.0006427075237391941)	(8, 0.0)	(9, 0.0)	(10, 0.0007218816389824282)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0002322983907674166)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)
SRR34661434	(1, 0.024655766576562516)	(2, 0.08755911926656894)	(3, 0.005894936882473184)	(4, 0.0)	(5, 0.0)	(6, 0.0007774108901776862)	(7, 0.0006229583954403976)	(8, 0.0)	(9, 0.0)	(10, 0.0007156298922827709)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00021314026803667546)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 4.40341246852661e-05)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0001517717838041294)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)
SRR34661435	(1, 0.024337060190628597)	(2, 0.08716020803620783)	(3, 0.005903317523966003)	(4, 0.0)	(5, 0.0)	(6, 0.0008825963602825531)	(7, 0.0006046853956261089)	(8, 0.0)	(9, 0.0)	(10, 0.0007237900947645849)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00020580811395006342)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)
