Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR34661426	(15, 412629.0)	(16, 470609.0)	(17, 255102.0)	(18, 304763.0)	(19, 686522.0)	(20, 500368.0)	(21, 425165.0)	(22, 1027202.0)	(23, 572089.0)	(24, 315956.0)	(25, 230974.0)	(26, 212599.0)	(27, 195081.0)	(28, 233777.0)	(29, 333672.0)	(30, 417898.0)	(31, 313174.0)	(32, 285346.0)	(33, 262698.0)	(34, 254293.0)	(35, 138010.0)	(36, 122265.0)	(37, 108529.0)	(38, 70345.0)	(39, 57862.0)	(40, 71012.0)	(41, 87155.0)	(42, 100426.0)	(43, 71344.0)	(44, 59254.0)	(45, 51424.0)	(46, 38968.0)	(47, 35276.0)	(48, 34403.0)	(49, 36491.0)	(50, 30776.0)	(51, 30756.0)	(52, 54412.0)	(53, 40358.0)	(54, 28786.0)	(55, 27552.0)
SRR34661427	(15, 303767.0)	(16, 324247.0)	(17, 239174.0)	(18, 265626.0)	(19, 431020.0)	(20, 385498.0)	(21, 521234.0)	(22, 1295799.0)	(23, 719559.0)	(24, 371565.0)	(25, 266629.0)	(26, 246598.0)	(27, 223421.0)	(28, 264766.0)	(29, 390807.0)	(30, 496884.0)	(31, 345411.0)	(32, 271796.0)	(33, 222027.0)	(34, 213723.0)	(35, 139137.0)	(36, 128417.0)	(37, 129716.0)	(38, 92550.0)	(39, 79053.0)	(40, 116978.0)	(41, 119719.0)	(42, 163119.0)	(43, 113940.0)	(44, 90235.0)	(45, 78132.0)	(46, 58352.0)	(47, 52943.0)	(48, 53011.0)	(49, 56200.0)	(50, 46507.0)	(51, 44866.0)	(52, 85183.0)	(53, 62576.0)	(54, 45276.0)	(55, 42641.0)
SRR34661428	(15, 446036.0)	(16, 544732.0)	(17, 413482.0)	(18, 348409.0)	(19, 530668.0)	(20, 484678.0)	(21, 517462.0)	(22, 885308.0)	(23, 619632.0)	(24, 595161.0)	(25, 530104.0)	(26, 534123.0)	(27, 442773.0)	(28, 542895.0)	(29, 969956.0)	(30, 1365818.0)	(31, 956097.0)	(32, 724746.0)	(33, 525188.0)	(34, 434518.0)	(35, 289700.0)	(36, 242007.0)	(37, 239101.0)	(38, 168932.0)	(39, 152508.0)	(40, 210486.0)	(41, 207165.0)	(42, 309198.0)	(43, 201289.0)	(44, 179707.0)	(45, 164243.0)	(46, 108405.0)	(47, 94239.0)	(48, 94258.0)	(49, 101486.0)	(50, 102383.0)	(51, 114294.0)	(52, 174418.0)	(53, 152217.0)	(54, 99469.0)	(55, 110518.0)
SRR34661429	(15, 275288.0)	(16, 349727.0)	(17, 240359.0)	(18, 227197.0)	(19, 285241.0)	(20, 257337.0)	(21, 303779.0)	(22, 526159.0)	(23, 384560.0)	(24, 336764.0)	(25, 310461.0)	(26, 315351.0)	(27, 270261.0)	(28, 324094.0)	(29, 602890.0)	(30, 867745.0)	(31, 592774.0)	(32, 424098.0)	(33, 327404.0)	(34, 314344.0)	(35, 216473.0)	(36, 186567.0)	(37, 211189.0)	(38, 136443.0)	(39, 121737.0)	(40, 210135.0)	(41, 184873.0)	(42, 239205.0)	(43, 156970.0)	(44, 130690.0)	(45, 135316.0)	(46, 91776.0)	(47, 78787.0)	(48, 74642.0)	(49, 77970.0)	(50, 75534.0)	(51, 79174.0)	(52, 116648.0)	(53, 105986.0)	(54, 69627.0)	(55, 67842.0)
SRR34661430	(15, 445142.0)	(16, 513697.0)	(17, 400787.0)	(18, 442361.0)	(19, 591799.0)	(20, 603094.0)	(21, 712949.0)	(22, 1528100.0)	(23, 910662.0)	(24, 515308.0)	(25, 406501.0)	(26, 370388.0)	(27, 350791.0)	(28, 396149.0)	(29, 525269.0)	(30, 624363.0)	(31, 501044.0)	(32, 553114.0)	(33, 439545.0)	(34, 384195.0)	(35, 260119.0)	(36, 220504.0)	(37, 191068.0)	(38, 149660.0)	(39, 132469.0)	(40, 147669.0)	(41, 161368.0)	(42, 206089.0)	(43, 156546.0)	(44, 133061.0)	(45, 110460.0)	(46, 88372.0)	(47, 81550.0)	(48, 81177.0)	(49, 81356.0)	(50, 66897.0)	(51, 64935.0)	(52, 115366.0)	(53, 85155.0)	(54, 59008.0)	(55, 57147.0)
SRR34661431	(15, 405420.0)	(16, 430489.0)	(17, 364601.0)	(18, 392140.0)	(19, 572645.0)	(20, 522093.0)	(21, 584780.0)	(22, 1172962.0)	(23, 707423.0)	(24, 430222.0)	(25, 350017.0)	(26, 326943.0)	(27, 310455.0)	(28, 356744.0)	(29, 490961.0)	(30, 583389.0)	(31, 442305.0)	(32, 456826.0)	(33, 403487.0)	(34, 379194.0)	(35, 217596.0)	(36, 186340.0)	(37, 162910.0)	(38, 129901.0)	(39, 112289.0)	(40, 121682.0)	(41, 133672.0)	(42, 165996.0)	(43, 130541.0)	(44, 111980.0)	(45, 92088.0)	(46, 80670.0)	(47, 76183.0)	(48, 78088.0)	(49, 77657.0)	(50, 61904.0)	(51, 58468.0)	(52, 127445.0)	(53, 79500.0)	(54, 52440.0)	(55, 51524.0)
SRR34661432	(15, 350437.0)	(16, 259715.0)	(17, 225140.0)	(18, 241707.0)	(19, 297348.0)	(20, 309150.0)	(21, 348167.0)	(22, 598402.0)	(23, 490553.0)	(24, 566333.0)	(25, 427864.0)	(26, 467483.0)	(27, 434979.0)	(28, 527149.0)	(29, 1231405.0)	(30, 2114091.0)	(31, 1126303.0)	(32, 621104.0)	(33, 400582.0)	(34, 482638.0)	(35, 454991.0)	(36, 332433.0)	(37, 334944.0)	(38, 272270.0)	(39, 242658.0)	(40, 946932.0)	(41, 585261.0)	(42, 730116.0)	(43, 844995.0)	(44, 336904.0)	(45, 271813.0)	(46, 199983.0)	(47, 171339.0)	(48, 221909.0)	(49, 331449.0)	(50, 277297.0)	(51, 232489.0)	(52, 318480.0)	(53, 258896.0)	(54, 198462.0)	(55, 199810.0)
SRR34661433	(15, 472365.0)	(16, 336220.0)	(17, 311370.0)	(18, 352302.0)	(19, 424764.0)	(20, 395275.0)	(21, 488191.0)	(22, 819552.0)	(23, 608199.0)	(24, 577049.0)	(25, 455668.0)	(26, 485226.0)	(27, 491350.0)	(28, 567778.0)	(29, 1216471.0)	(30, 1792970.0)	(31, 1017378.0)	(32, 614013.0)	(33, 499314.0)	(34, 546768.0)	(35, 598987.0)	(36, 457383.0)	(37, 392505.0)	(38, 316618.0)	(39, 270707.0)	(40, 959058.0)	(41, 742304.0)	(42, 923492.0)	(43, 1093006.0)	(44, 398538.0)	(45, 296213.0)	(46, 230302.0)	(47, 197138.0)	(48, 240402.0)	(49, 355036.0)	(50, 278010.0)	(51, 234243.0)	(52, 338368.0)	(53, 270272.0)	(54, 212907.0)	(55, 193952.0)
SRR34661434	(15, 384630.0)	(16, 271834.0)	(17, 239304.0)	(18, 261301.0)	(19, 337044.0)	(20, 344060.0)	(21, 422255.0)	(22, 748486.0)	(23, 563160.0)	(24, 525475.0)	(25, 405915.0)	(26, 414306.0)	(27, 404930.0)	(28, 478637.0)	(29, 1035362.0)	(30, 1703061.0)	(31, 937823.0)	(32, 538105.0)	(33, 396862.0)	(34, 522510.0)	(35, 496711.0)	(36, 306058.0)	(37, 319964.0)	(38, 364878.0)	(39, 279717.0)	(40, 976948.0)	(41, 739617.0)	(42, 972799.0)	(43, 1131071.0)	(44, 362246.0)	(45, 267413.0)	(46, 198683.0)	(47, 178695.0)	(48, 239811.0)	(49, 336009.0)	(50, 252728.0)	(51, 199197.0)	(52, 275282.0)	(53, 250782.0)	(54, 169905.0)	(55, 169874.0)
SRR34661435	(15, 636540.0)	(16, 524943.0)	(17, 507976.0)	(18, 539728.0)	(19, 646999.0)	(20, 631866.0)	(21, 678517.0)	(22, 1011938.0)	(23, 820308.0)	(24, 836566.0)	(25, 738445.0)	(26, 789419.0)	(27, 783801.0)	(28, 936367.0)	(29, 1744721.0)	(30, 2419689.0)	(31, 1534527.0)	(32, 961363.0)	(33, 821565.0)	(34, 902654.0)	(35, 994595.0)	(36, 823175.0)	(37, 692448.0)	(38, 584497.0)	(39, 493938.0)	(40, 1520352.0)	(41, 1163556.0)	(42, 1336442.0)	(43, 1592113.0)	(44, 652869.0)	(45, 474015.0)	(46, 393546.0)	(47, 353231.0)	(48, 403851.0)	(49, 514854.0)	(50, 406275.0)	(51, 334283.0)	(52, 530074.0)	(53, 382825.0)	(54, 320917.0)	(55, 308512.0)
SRR34661436	(15, 402702.0)	(16, 319289.0)	(17, 272995.0)	(18, 292507.0)	(19, 332995.0)	(20, 320976.0)	(21, 366055.0)	(22, 551231.0)	(23, 432616.0)	(24, 468925.0)	(25, 383749.0)	(26, 399680.0)	(27, 395727.0)	(28, 487069.0)	(29, 1051758.0)	(30, 1663754.0)	(31, 933025.0)	(32, 517085.0)	(33, 436808.0)	(34, 474362.0)	(35, 418754.0)	(36, 323735.0)	(37, 301994.0)	(38, 270716.0)	(39, 240111.0)	(40, 930615.0)	(41, 548391.0)	(42, 649342.0)	(43, 724290.0)	(44, 314105.0)	(45, 242931.0)	(46, 171919.0)	(47, 154186.0)	(48, 192114.0)	(49, 258130.0)	(50, 194261.0)	(51, 161263.0)	(52, 213924.0)	(53, 190391.0)	(54, 142311.0)	(55, 130841.0)
SRR34661437	(15, 474895.0)	(16, 389589.0)	(17, 327503.0)	(18, 362902.0)	(19, 441735.0)	(20, 440844.0)	(21, 499703.0)	(22, 805254.0)	(23, 597120.0)	(24, 559591.0)	(25, 479404.0)	(26, 499080.0)	(27, 510742.0)	(28, 589638.0)	(29, 1271639.0)	(30, 1907515.0)	(31, 1041620.0)	(32, 566674.0)	(33, 447338.0)	(34, 508226.0)	(35, 447085.0)	(36, 325144.0)	(37, 306192.0)	(38, 286684.0)	(39, 233719.0)	(40, 826622.0)	(41, 608473.0)	(42, 747009.0)	(43, 899569.0)	(44, 336564.0)	(45, 252151.0)	(46, 174937.0)	(47, 161200.0)	(48, 207584.0)	(49, 295113.0)	(50, 218269.0)	(51, 174551.0)	(52, 242815.0)	(53, 204049.0)	(54, 151645.0)	(55, 132949.0)
SRR34661438	(15, 411207.0)	(16, 351162.0)	(17, 303906.0)	(18, 324696.0)	(19, 370992.0)	(20, 368647.0)	(21, 466892.0)	(22, 792472.0)	(23, 616578.0)	(24, 649999.0)	(25, 531890.0)	(26, 563828.0)	(27, 589924.0)	(28, 730828.0)	(29, 1658264.0)	(30, 2696098.0)	(31, 1532169.0)	(32, 773767.0)	(33, 554938.0)	(34, 675008.0)	(35, 633722.0)	(36, 431166.0)	(37, 422685.0)	(38, 438037.0)	(39, 345480.0)	(40, 1130677.0)	(41, 833944.0)	(42, 1078359.0)	(43, 1303928.0)	(44, 452132.0)	(45, 339252.0)	(46, 262110.0)	(47, 240252.0)	(48, 303595.0)	(49, 430981.0)	(50, 327835.0)	(51, 269414.0)	(52, 368415.0)	(53, 336458.0)	(54, 231136.0)	(55, 206669.0)
SRR34661439	(15, 358876.0)	(16, 312056.0)	(17, 279251.0)	(18, 307420.0)	(19, 366699.0)	(20, 391996.0)	(21, 519152.0)	(22, 930198.0)	(23, 668721.0)	(24, 557447.0)	(25, 464019.0)	(26, 463430.0)	(27, 487622.0)	(28, 572371.0)	(29, 1242178.0)	(30, 1920595.0)	(31, 1064365.0)	(32, 576998.0)	(33, 468279.0)	(34, 533323.0)	(35, 465129.0)	(36, 361781.0)	(37, 324921.0)	(38, 279340.0)	(39, 226256.0)	(40, 753292.0)	(41, 540339.0)	(42, 648779.0)	(43, 753164.0)	(44, 304235.0)	(45, 237958.0)	(46, 172912.0)	(47, 155673.0)	(48, 180260.0)	(49, 246017.0)	(50, 191804.0)	(51, 159909.0)	(52, 220545.0)	(53, 182498.0)	(54, 148114.0)	(55, 127869.0)
SRR34661440	(15, 455897.0)	(16, 336237.0)	(17, 305825.0)	(18, 343573.0)	(19, 435753.0)	(20, 428873.0)	(21, 503648.0)	(22, 818106.0)	(23, 613646.0)	(24, 546655.0)	(25, 473870.0)	(26, 523550.0)	(27, 549363.0)	(28, 661189.0)	(29, 1418439.0)	(30, 2111173.0)	(31, 1255127.0)	(32, 639258.0)	(33, 464248.0)	(34, 543399.0)	(35, 546122.0)	(36, 424329.0)	(37, 368597.0)	(38, 348242.0)	(39, 278704.0)	(40, 901879.0)	(41, 697944.0)	(42, 809603.0)	(43, 894194.0)	(44, 351928.0)	(45, 272184.0)	(46, 191200.0)	(47, 181016.0)	(48, 228571.0)	(49, 313950.0)	(50, 238680.0)	(51, 186012.0)	(52, 273986.0)	(53, 223703.0)	(54, 158069.0)	(55, 148343.0)
SRR34661441	(15, 123857.0)	(16, 95085.0)	(17, 92745.0)	(18, 101172.0)	(19, 118548.0)	(20, 107940.0)	(21, 126071.0)	(22, 193870.0)	(23, 155637.0)	(24, 161143.0)	(25, 138113.0)	(26, 147086.0)	(27, 154916.0)	(28, 182417.0)	(29, 369767.0)	(30, 546482.0)	(31, 329304.0)	(32, 191805.0)	(33, 159940.0)	(34, 188756.0)	(35, 210512.0)	(36, 167653.0)	(37, 149993.0)	(38, 128767.0)	(39, 110319.0)	(40, 341976.0)	(41, 289128.0)	(42, 347443.0)	(43, 410274.0)	(44, 154147.0)	(45, 119704.0)	(46, 95939.0)	(47, 88397.0)	(48, 103417.0)	(49, 140432.0)	(50, 109410.0)	(51, 91529.0)	(52, 133213.0)	(53, 110511.0)	(54, 85625.0)	(55, 76792.0)
SRR34661442	(15, 569229.0)	(16, 390193.0)	(17, 355533.0)	(18, 397539.0)	(19, 506509.0)	(20, 476390.0)	(21, 486376.0)	(22, 764597.0)	(23, 624444.0)	(24, 564567.0)	(25, 492312.0)	(26, 527260.0)	(27, 518696.0)	(28, 589152.0)	(29, 1173316.0)	(30, 1688822.0)	(31, 1067961.0)	(32, 600896.0)	(33, 480418.0)	(34, 572600.0)	(35, 608669.0)	(36, 493564.0)	(37, 417595.0)	(38, 403730.0)	(39, 324135.0)	(40, 1137137.0)	(41, 870720.0)	(42, 1063349.0)	(43, 1244035.0)	(44, 447211.0)	(45, 322224.0)	(46, 235229.0)	(47, 215496.0)	(48, 256783.0)	(49, 353977.0)	(50, 274981.0)	(51, 216823.0)	(52, 316898.0)	(53, 277461.0)	(54, 191869.0)	(55, 179708.0)
SRR34661443	(15, 402812.0)	(16, 306617.0)	(17, 283707.0)	(18, 292178.0)	(19, 321736.0)	(20, 238837.0)	(21, 286109.0)	(22, 467649.0)	(23, 387103.0)	(24, 453448.0)	(25, 399295.0)	(26, 312151.0)	(27, 299957.0)	(28, 565762.0)	(29, 1721788.0)	(30, 4508151.0)	(31, 1955209.0)	(32, 1400582.0)	(33, 911537.0)	(34, 876605.0)	(35, 343282.0)	(36, 239793.0)	(37, 143822.0)	(38, 116089.0)	(39, 102613.0)	(40, 185295.0)	(41, 149465.0)	(42, 246670.0)	(43, 195072.0)	(44, 129267.0)	(45, 118850.0)	(46, 74404.0)	(47, 67387.0)	(48, 74039.0)	(49, 89094.0)	(50, 91571.0)	(51, 82278.0)	(52, 122506.0)	(53, 92143.0)	(54, 75221.0)	(55, 105388.0)
