Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR34661416	2.722215665766144	24.892104800954886
SRR34661417	2.343667714984764	25.93239356702894
SRR34661418	2.721327137341888	25.328829456376614
SRR34661419	3.6386689719685457	28.861788730991417
SRR34661420	2.0197243786781742	22.958122607445844
SRR34661421	2.312989610873851	23.84585359919553
SRR34661422	1.7031709917822773	20.589470548448617
SRR34661423	2.358799027170903	22.515047683596258
SRR34661424	1.593735640797643	29.43959372712749
SRR34661425	1.6178175486450654	26.01537010557577
SRR34661426	4.411736128006987	29.47579547691859
SRR34661427	1.9100963919741631	25.846109991329534
SRR34661428	1.0820069477226906	23.204195881555336
SRR34661429	0.8989736123462732	19.674375986141296
SRR34661430	1.3659271816112155	21.182412067477546
SRR34661431	1.7053661741982344	19.7881415647304
SRR34661432	2.5251632430046476	25.081983849704063
SRR34661433	1.8884051091708587	24.75547307372172
SRR34661434	2.3897044438248036	27.53864298449997
SRR34661435	1.938380115012384	22.08832071536115
SRR34661436	2.699397695239718	21.234455045691448
SRR34661437	1.816859095641952	23.625498011961508
SRR34661438	2.031632798296078	25.203644945906653
SRR34661439	1.5909961660335334	22.09788262848113
SRR34661440	1.5710396674413356	20.631541873698612
SRR34661441	1.9949970873453724	22.887744961946677
SRR34661442	2.231610645400443	25.266701570735986
SRR34661443	9.6940383401882	40.79897763934379
