Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR34661428	(1.0, 11.733388127246753)	(2.0, 3.6566245422124597)	(3.0, 1.7062008480320867)	(4.0, 1.059456886820077)	(5.0, 0.7777679711765761)	(6.0, 0.6493656146955651)	(7.0, 0.5101764728955549)	(8.0, 0.4784306168095185)	(9.0, 0.4117195713870963)	('>10', 6.248781174962236)	('>50', 3.1429616756073835)	('>100', 9.36659774672957)	('>500', 4.7333196761075325)	('>1k', 12.101052294048984)	('>5k', 6.038470952074033)	('>10k+', 37.38568582919459)
SRR34661429	(1.0, 2.5212369658454774)	(2.0, 0.9168834578822385)	(3.0, 0.5769680551777621)	(4.0, 0.4471713882902807)	(5.0, 0.3687905120878269)	(6.0, 0.32462352084406415)	(7.0, 0.28090282168097463)	(8.0, 0.2590077687512108)	(9.0, 0.24230646485675578)	('>10', 5.551625193358275)	('>50', 3.4892603297181406)	('>100', 11.315432958326584)	('>500', 6.018531528429292)	('>1k', 19.17605564989771)	('>5k', 11.91172201750227)	('>10k+', 36.59948136735114)
SRR34661430	(1.0, 1.9084594030710624)	(2.0, 0.6281055181322919)	(3.0, 0.3853310586259586)	(4.0, 0.29997393980576165)	(5.0, 0.24269784904643338)	(6.0, 0.22030806787107915)	(7.0, 0.2085356675098295)	(8.0, 0.18963755379205985)	(9.0, 0.17518378233487641)	('>10', 4.60047326391814)	('>50', 3.451874443652539)	('>100', 12.009963517330942)	('>500', 5.573306172764524)	('>1k', 16.543928267516193)	('>5k', 10.01464834105066)	('>10k+', 43.54757315357765)
SRR34661431	(1.0, 2.157624226762048)	(2.0, 0.7199768414329111)	(3.0, 0.45265480350345283)	(4.0, 0.360529546876622)	(5.0, 0.3080733659805513)	(6.0, 0.26415555712012123)	(7.0, 0.23799663866146598)	(8.0, 0.21187723063057332)	(9.0, 0.21209892353805188)	('>10', 5.162571522503481)	('>50', 3.724184219017191)	('>100', 12.31386047585662)	('>500', 5.819729289513735)	('>1k', 16.89474880740112)	('>5k', 10.039574915566707)	('>10k+', 41.12034363563535)
SRR34661432	(1.0, 10.674364504444894)	(2.0, 4.203169727229265)	(3.0, 2.1825931000615855)	(4.0, 1.4610289532607015)	(5.0, 1.154419540489054)	(6.0, 1.0023499280579449)	(7.0, 0.8797762374027266)	(8.0, 0.7469640021230999)	(9.0, 0.6781241562645653)	('>10', 10.736445487313388)	('>50', 4.328690278762319)	('>100', 9.188753733084262)	('>500', 3.68426500714966)	('>1k', 9.625566009574085)	('>5k', 5.085667516161589)	('>10k+', 34.36782181862094)
SRR34661433	(1.0, 9.314878947384058)	(2.0, 3.8886649111185627)	(3.0, 1.9673758673967392)	(4.0, 1.3421574367661038)	(5.0, 1.068887590510592)	(6.0, 0.9375438987190621)	(7.0, 0.7740557771238217)	(8.0, 0.7326292994217405)	(9.0, 0.6543979030035847)	('>10', 10.937555385044979)	('>50', 4.514715156235506)	('>100', 9.611794093792096)	('>500', 3.8496906107974453)	('>1k', 10.035397468781209)	('>5k', 5.555719540433694)	('>10k+', 34.81453611347082)
SRR34661434	(1.0, 10.063979922519838)	(2.0, 3.7344238426316982)	(3.0, 1.9516281948075964)	(4.0, 1.3548352175031035)	(5.0, 1.1104931508842621)	(6.0, 0.9340722209717166)	(7.0, 0.8040688862737869)	(8.0, 0.726050489617443)	(9.0, 0.633984235913083)	('>10', 10.1579505281346)	('>50', 4.029303842016972)	('>100', 8.844596933748592)	('>500', 3.615584214737265)	('>1k', 9.465660196458943)	('>5k', 5.137888300222644)	('>10k+', 37.435479823558424)
SRR34661435	(1.0, 9.002771097148447)	(2.0, 3.0825525262024387)	(3.0, 1.5186008656406513)	(4.0, 1.0109803686551466)	(5.0, 0.8376410912354089)	(6.0, 0.6973707650705676)	(7.0, 0.6140459667114031)	(8.0, 0.5800788829285152)	(9.0, 0.5313041654399362)	('>10', 10.90763400144796)	('>50', 6.135123319396804)	('>100', 13.146132142048794)	('>500', 4.55586712762092)	('>1k', 9.025317384666824)	('>5k', 4.357736245900505)	('>10k+', 33.9968440498857)
SRR34661436	(1.0, 11.188583327396893)	(2.0, 4.611781414940926)	(3.0, 2.447825570424722)	(4.0, 1.6420286969826936)	(5.0, 1.2546570322291313)	(6.0, 1.079328985294781)	(7.0, 0.954387392314126)	(8.0, 0.8427657564111211)	(9.0, 0.757452198482526)	('>10', 11.824106121624748)	('>50', 4.608497927799573)	('>100', 9.645904813767189)	('>500', 3.7721390584450614)	('>1k', 9.918709385186409)	('>5k', 5.711528531616651)	('>10k+', 29.74030378708355)
SRR34661437	(1.0, 10.203750008955353)	(2.0, 4.1578056053712)	(3.0, 2.1674593813145124)	(4.0, 1.555031813154476)	(5.0, 1.2326667777520273)	(6.0, 1.0414382173563093)	(7.0, 0.9024984256100945)	(8.0, 0.8024828429729575)	(9.0, 0.7214362381900307)	('>10', 11.377021047781987)	('>50', 4.622951238745465)	('>100', 9.301570687233108)	('>500', 3.8433603797058007)	('>1k', 10.182916558171412)	('>5k', 5.7717570042447095)	('>10k+', 32.11585377344058)
SRR34661438	(1.0, 10.354534936145185)	(2.0, 3.955524168458955)	(3.0, 2.053354788117123)	(4.0, 1.4741817234231502)	(5.0, 1.197079676041691)	(6.0, 0.9977194940715808)	(7.0, 0.8810457273357626)	(8.0, 0.8044931181709338)	(9.0, 0.6801468965335448)	('>10', 11.22598998719922)	('>50', 4.5658511825032955)	('>100', 9.266951774265207)	('>500', 3.4507303220702115)	('>1k', 9.032641398926152)	('>5k', 4.913139841837171)	('>10k+', 35.146614964900785)
SRR34661439	(1.0, 10.732061598691315)	(2.0, 4.267265622156012)	(3.0, 2.1689606638549157)	(4.0, 1.5541660268421842)	(5.0, 1.2323961515304511)	(6.0, 1.0526206207409685)	(7.0, 0.9801245026558207)	(8.0, 0.7858795148260829)	(9.0, 0.7663594465863379)	('>10', 12.128236162117217)	('>50', 4.848890007277619)	('>100', 9.56460087516675)	('>500', 3.7043040120007746)	('>1k', 10.545321689426139)	('>5k', 5.762637660862415)	('>10k+', 29.90617544526501)
SRR34661440	(1.0, 10.567086090773318)	(2.0, 3.9910964253759222)	(3.0, 2.0933613509564992)	(4.0, 1.4816761312739937)	(5.0, 1.252199904042251)	(6.0, 1.0805327934290245)	(7.0, 0.957914294744101)	(8.0, 0.8726961967289418)	(9.0, 0.7855900538011289)	('>10', 12.831422086495085)	('>50', 5.362202977145364)	('>100', 10.506934209727472)	('>500', 4.030115629158577)	('>1k', 9.354989516255921)	('>5k', 5.464727145215882)	('>10k+', 29.367455194876595)
SRR34661441	(1.0, 15.255940879304669)	(2.0, 4.452607066275972)	(3.0, 2.6289435655323694)	(4.0, 1.9380975775702505)	(5.0, 1.5878716458153883)	(6.0, 1.3275197285010738)	(7.0, 1.1884362260815646)	(8.0, 1.0314920985400524)	(9.0, 0.9380656523089648)	('>10', 12.877682209426638)	('>50', 4.424080472254037)	('>100', 8.711020497953117)	('>500', 3.7625889424589056)	('>1k', 12.039271943364788)	('>5k', 4.870245588428037)	('>10k+', 22.966135906184213)
SRR34661442	(1.0, 9.447561067675842)	(2.0, 3.5699724907288086)	(3.0, 1.8893316973038703)	(4.0, 1.3587756297420368)	(5.0, 1.143706871509294)	(6.0, 0.9566286817520255)	(7.0, 0.8394448050251774)	(8.0, 0.7498617154376477)	(9.0, 0.6793084364981389)	('>10', 11.216902193696358)	('>50', 4.570157736793456)	('>100', 9.435877200425951)	('>500', 3.9045239187039615)	('>1k', 9.282935842957478)	('>5k', 5.456410982770676)	('>10k+', 35.49860072897926)
SRR34661443	(1.0, 8.474298051163531)	(2.0, 3.2428670220930322)	(3.0, 1.5987211950826714)	(4.0, 1.0196884386268419)	(5.0, 0.741590908062815)	(6.0, 0.6367191724554216)	(7.0, 0.5179737466393589)	(8.0, 0.4790857477243472)	(9.0, 0.4104323100134354)	('>10', 6.08085669967162)	('>50', 2.4237608293121786)	('>100', 5.611546692090626)	('>500', 2.643732991500554)	('>1k', 6.931029789685768)	('>5k', 2.9303106705964566)	('>10k+', 56.25738573528133)
