Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRR34661427 - polya	(1, 0.00426125915311173)	(2, 0.005751137047720477)	(3, 0.010043652380439383)	(4, 0.011429343009690875)	(5, 0.012762940006263738)	(6, 0.016472006652982017)	(7, 0.03716359755293286)	(8, 0.06635686930603571)	(9, 0.0906220834077404)	(10, 0.11257434021851404)	(11, 0.1367041108752543)	(12, 0.18555751960127118)	(13, 0.1986434401301424)	(14, 0.21577182655487512)	(15, 0.24863249004855334)	(16, 0.2969649624477839)	(17, 0.3047477511699709)	(18, 0.31118652416904924)	(19, 0.32010495408363027)	(20, 0.32431411960406337)	(21, 0.32854412257756793)	(22, 0.33131550383607095)	(23, 0.33492038321743195)	(24, 0.33708747833686287)	(25, 0.3394421105339368)	(26, 0.3415571120206891)	(27, 0.34367211350744137)	(28, 0.34505780413669285)	(29, 0.34664145057012313)	(30, 0.34833970299544637)	(31, 0.34938157564901895)	(32, 0.35030884231069853)	(33, 0.35129862133159245)	(34, 0.35274682432005827)	(35, 0.3540074902308811)	(36, 0.3547784759945248)	(37, 0.35694557111395564)	(38, 0.3576436257918493)	(39, 0.35832084301667144)	(40, 0.35911266623338656)	(41, 0.3598315583643516)	(42, 0.3603941695972808)	(43, 0.36077966247910265)	(44, 0.3609776182832814)
SRR34661428 - polya	(1, 0.0025803925700013104)	(2, 0.0036037599396125356)	(3, 0.007960919169736402)	(4, 0.008934059919980206)	(5, 0.009630954263703187)	(6, 0.010541311739737713)	(7, 0.013184487583948301)	(8, 0.016744299231614343)	(9, 0.02120191170047305)	(10, 0.024793114985243732)	(11, 0.03284820906629405)	(12, 0.03992388406967964)	(13, 0.04484609276768701)	(14, 0.05537484785258286)	(15, 0.06502463709854883)	(16, 0.0788809057165364)	(17, 0.08365871288386244)	(18, 0.08951639236758803)	(19, 0.09437581779138612)	(20, 0.09873925534893092)	(21, 0.1031905894903687)	(22, 0.1064239281121465)	(23, 0.11169772314572582)	(24, 0.11501895835139661)	(25, 0.11905592288305315)	(26, 0.12199418011604735)	(27, 0.1251270654990903)	(28, 0.12778907632556366)	(29, 0.13074616854082066)	(30, 0.1339669505077566)	(31, 0.13586300538887677)	(32, 0.13784067852646903)	(33, 0.13991880490279612)	(34, 0.14164534494355124)	(35, 0.14379253292150854)	(36, 0.14553162961710553)	(37, 0.1499829637585433)	(38, 0.15162788554282638)	(39, 0.15288982935443288)	(40, 0.15445313288224388)	(41, 0.15578413829548057)	(42, 0.15668193911667325)	(43, 0.1575357916459194)	(44, 0.15792504794601694)
SRR34661429 - polya	(1, 0.0045324769442991585)	(2, 0.00612418190974897)	(3, 0.012277480373743972)	(4, 0.013568314278651442)	(5, 0.01466503782191869)	(6, 0.0164314421128447)	(7, 0.01995454517661471)	(8, 0.026039905014035636)	(9, 0.03194086000789835)	(10, 0.0380456308814833)	(11, 0.04749880549336206)	(12, 0.05708785735838897)	(13, 0.06495903252289993)	(14, 0.0776732612103344)	(15, 0.09473556199850981)	(16, 0.12382299969029692)	(17, 0.13254826044602486)	(18, 0.14335050207130315)	(19, 0.15267750494811574)	(20, 0.1600051711000341)	(21, 0.16780840763797097)	(22, 0.17356377986060353)	(23, 0.18124084466347426)	(24, 0.18653035201817028)	(25, 0.19215955250573669)	(26, 0.1974296488242687)	(27, 0.20268033410663666)	(28, 0.20697017309888555)	(29, 0.21136677279003654)	(30, 0.2169280346510289)	(31, 0.22050937082329095)	(32, 0.2235374924648784)	(33, 0.2267985465404341)	(34, 0.2304866434115983)	(35, 0.23489294862083132)	(36, 0.23791136474433675)	(37, 0.24460817222092437)	(38, 0.24705396277759117)	(39, 0.24902418294823941)	(40, 0.2520717156259909)	(41, 0.25451750618265767)	(42, 0.2558762787141392)	(43, 0.2573903395349329)	(44, 0.2579726706198536)
SRR34661430 - polya	(1, 0.002913762580566617)	(2, 0.003815298032474605)	(3, 0.006332385014201708)	(4, 0.007457501258182877)	(5, 0.008452796397089296)	(6, 0.01023423045005948)	(7, 0.01803070903815976)	(8, 0.0316691373546238)	(9, 0.04293472436166602)	(10, 0.052880463467114946)	(11, 0.06246558839180067)	(12, 0.08500397468950037)	(13, 0.09228116885730166)	(14, 0.10146961818314787)	(15, 0.12144043151381362)	(16, 0.14816194230836638)	(17, 0.15208542459506993)	(18, 0.15570599096993243)	(19, 0.16025694193116394)	(20, 0.1624278392993584)	(21, 0.16463479808562914)	(22, 0.16597628283806823)	(23, 0.16770723090573156)	(24, 0.16882513486609746)	(25, 0.17009449678238392)	(26, 0.17104651821959874)	(27, 0.1719336291042762)	(28, 0.17271255573472472)	(29, 0.17354918063409533)	(30, 0.17429925813008276)	(31, 0.1748546039684581)	(32, 0.17542437437406394)	(33, 0.17601578163051557)	(34, 0.17662161345419775)	(35, 0.17723465756149517)	(36, 0.17766739457841102)	(37, 0.17866268971731744)	(38, 0.1790449407489264)	(39, 0.17941276721330487)	(40, 0.17978059367768334)	(41, 0.1801844815601381)	(42, 0.18044412377028762)	(43, 0.18063885542789973)	(44, 0.18071819054766763)
SRR34661431 - polya	(1, 0.002710146873282705)	(2, 0.003494004738170626)	(3, 0.005345243525459119)	(4, 0.005945645294309442)	(5, 0.006637775111178564)	(6, 0.008188813014041896)	(7, 0.016677826912508954)	(8, 0.030445373028785094)	(9, 0.04231998579049147)	(10, 0.052126548015046736)	(11, 0.06112423563434532)	(12, 0.08329740651452597)	(13, 0.08943484681832926)	(14, 0.09798223311099011)	(15, 0.1139929469469987)	(16, 0.13479019710689735)	(17, 0.13828420184506798)	(18, 0.1412361772085821)	(19, 0.14498034935044032)	(20, 0.14656474290712868)	(21, 0.1484826930020672)	(22, 0.14974186893396163)	(23, 0.1509927059523998)	(24, 0.15205174796134413)	(25, 0.15296068952807587)	(26, 0.15371953065259503)	(27, 0.15456176091167673)	(28, 0.15518717942089583)	(29, 0.15580425901665865)	(30, 0.1563963218720527)	(31, 0.15710512951583436)	(32, 0.15745536388099704)	(33, 0.15777224259233472)	(34, 0.1582308828324287)	(35, 0.1586895230725227)	(36, 0.1591314854857042)	(37, 0.16004876596589218)	(38, 0.16039900033105486)	(39, 0.16073255686930504)	(40, 0.16103275775373022)	(41, 0.16133295863815536)	(42, 0.1615247536476492)	(43, 0.16171654865714308)	(44, 0.16178325996479312)
SRR34661432 - polya	(1, 0.0030336059758615196)	(2, 0.004998967796120521)	(3, 0.00827629938029912)	(4, 0.009463813514439782)	(5, 0.010703184160988335)	(6, 0.012808558564748638)	(7, 0.018632044908154597)	(8, 0.0244814595077645)	(9, 0.02852626747557986)	(10, 0.03257626109463601)	(11, 0.03970653155072078)	(12, 0.048874762944435594)	(13, 0.05377001771574033)	(14, 0.06409464933615108)	(15, 0.07280135776943568)	(16, 0.08479058343813967)	(17, 0.09117930576679162)	(18, 0.09870368571717635)	(19, 0.10346929920746137)	(20, 0.10704739856360572)	(21, 0.11104553567025398)	(22, 0.11421396857837601)	(23, 0.11775058272459406)	(24, 0.1198870710357991)	(25, 0.12214801497678306)	(26, 0.12463194192112095)	(27, 0.12705364105056938)	(28, 0.12906048808075468)	(29, 0.13290824130142007)	(30, 0.13569812166896453)	(31, 0.13834798945300766)	(32, 0.14065560425515872)	(33, 0.14383440846576234)	(34, 0.14891116103049468)	(35, 0.15618662972132155)	(36, 0.15862907145573313)	(37, 0.16640236266567573)	(38, 0.16834179622973078)	(39, 0.17041605672604634)	(40, 0.17364671744905785)	(41, 0.18151853603257542)	(42, 0.18332832831561077)	(43, 0.1891570003102575)	(44, 0.18998151885754294)
SRR34661433 - polya	(1, 0.0023053639438471094)	(2, 0.00371652611553534)	(3, 0.006520221255325158)	(4, 0.007563456656177183)	(5, 0.008457658428336063)	(6, 0.010036483432304082)	(7, 0.014381745168888634)	(8, 0.018610574383056664)	(9, 0.0214002976201565)	(10, 0.024082902936633135)	(11, 0.029275793436409958)	(12, 0.03920050164719418)	(13, 0.04335481404701564)	(14, 0.0508018381807763)	(15, 0.05882636762572291)	(16, 0.07038578845123508)	(17, 0.07554142054383861)	(18, 0.08164714201936096)	(19, 0.08612746548194868)	(20, 0.08917799756926152)	(21, 0.0924381081969241)	(22, 0.09488319116767104)	(23, 0.09795235245857051)	(24, 0.09982924471992483)	(25, 0.10195297392880216)	(26, 0.10391369760629637)	(27, 0.1056927865488208)	(28, 0.10728092615458215)	(29, 0.11073198611900782)	(30, 0.11335870382472453)	(31, 0.11585035980443807)	(32, 0.11785299919000222)	(33, 0.1208290144629685)	(34, 0.12617093859143846)	(35, 0.13372042334492568)	(36, 0.13546225388027683)	(37, 0.1417402954889756)	(38, 0.1434402103162568)	(39, 0.14506095102829478)	(40, 0.14816737072636754)	(41, 0.15706281543898973)	(42, 0.15862301123937111)	(43, 0.16486845174179326)	(44, 0.16564156369063898)
SRR34661434 - polya	(1, 0.0019409530171985941)	(2, 0.003325877053342949)	(3, 0.0065230436944048245)	(4, 0.007547578576162173)	(5, 0.008510332460024606)	(6, 0.0097562492509054)	(7, 0.012680549817931399)	(8, 0.0157490060467122)	(9, 0.01839529212321108)	(10, 0.020691485878305438)	(11, 0.025824457120074664)	(12, 0.03191503382921508)	(13, 0.03512764571975068)	(14, 0.04217582789626229)	(15, 0.048276701438385194)	(16, 0.05742028912683268)	(17, 0.06221861329667112)	(18, 0.06826285425739034)	(19, 0.07244851686477087)	(20, 0.07557360567495534)	(21, 0.07835375058022653)	(22, 0.0806139054198822)	(23, 0.0834558313230483)	(24, 0.08523718342901837)	(25, 0.0870494260339359)	(26, 0.08904701163253816)	(27, 0.09085925423745568)	(28, 0.0924192244343023)	(29, 0.0954516417476444)	(30, 0.09772209342028254)	(31, 0.09972482743537604)	(32, 0.10157310895573227)	(33, 0.10407523937047634)	(34, 0.10938325677294783)	(35, 0.11608134662805492)	(36, 0.11759498107648035)	(37, 0.123330317047725)	(38, 0.12474098316632556)	(39, 0.12627521128071598)	(40, 0.12890605210774111)	(41, 0.1380393429632061)	(42, 0.13954268057864908)	(43, 0.14530890704884117)	(44, 0.1459112717783166)
SRR34661435 - polya	(1, 0.0020705893850227366)	(2, 0.003264690343052073)	(3, 0.004929102164346161)	(4, 0.006068231722773124)	(5, 0.006850047183784659)	(6, 0.008071633841615182)	(7, 0.011559263749721325)	(8, 0.01524540148972493)	(9, 0.01772522240512089)	(10, 0.01999431962204109)	(11, 0.024184361858399783)	(12, 0.035389365477350256)	(13, 0.03822344652351707)	(14, 0.04446880831167562)	(15, 0.05102567469758095)	(16, 0.05935078777069597)	(17, 0.06267961141328414)	(18, 0.06704678371502827)	(19, 0.06995110599402034)	(20, 0.07184761928030223)	(21, 0.0736158659675119)	(22, 0.07513979532315548)	(23, 0.07712487364213008)	(24, 0.07827621906713535)	(25, 0.07969020562357418)	(26, 0.08129048414533216)	(27, 0.0825762041026988)	(28, 0.08360233689527644)	(29, 0.08648833537440104)	(30, 0.08817717892885174)	(31, 0.08985991455001328)	(32, 0.09120365987362686)	(33, 0.09321622389240265)	(34, 0.09695733303200862)	(35, 0.10237812382613157)	(36, 0.10345312008502243)	(37, 0.10676667389438772)	(38, 0.10771645752085096)	(39, 0.108818939479543)	(40, 0.1106879670660237)	(41, 0.1166951194559053)	(42, 0.11770292844861549)	(43, 0.12187464688510673)	(44, 0.12228387841547994)
SRR34661436 - polya	(1, 0.004502931883258076)	(2, 0.007159545937776658)	(3, 0.012536440178839323)	(4, 0.014070215177635454)	(5, 0.01578920074232395)	(6, 0.018104332815978487)	(7, 0.024094737056559602)	(8, 0.030773893089052946)	(9, 0.034871676859421476)	(10, 0.03928200345973337)	(11, 0.04774381118894071)	(12, 0.062439112026462885)	(13, 0.06776391579586832)	(14, 0.07823410059897097)	(15, 0.08774929342169112)	(16, 0.1011076054866778)	(17, 0.1075552483118057)	(18, 0.11659583905942666)	(19, 0.12254572848871882)	(20, 0.12694447942866244)	(21, 0.1308859917840593)	(22, 0.13420820630975355)	(23, 0.13784296366539117)	(24, 0.13987449206002303)	(25, 0.14234010771846511)	(26, 0.14460314932046242)	(27, 0.14687197875264388)	(28, 0.14885141667561852)	(29, 0.15233569044646858)	(30, 0.15503281931227614)	(31, 0.1573711027066672)	(32, 0.15968623478032173)	(33, 0.16237178798576102)	(34, 0.16668950930312673)	(35, 0.17173070939350948)	(36, 0.17341496797709316)	(37, 0.17841565325618697)	(38, 0.17986261080222105)	(39, 0.18136165881991237)	(40, 0.18371151787467171)	(41, 0.19097524475576283)	(42, 0.19238168749050796)	(43, 0.19726082833573488)	(44, 0.1977064912599134)
