Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR34661426	(15.0, 1.0)	(16.0, 6.0)	(17.0, 13.0)	(18.0, 30.0)	(19.0, 100.0)	(20.0, 226.0)	(21.0, 417.0)	(22.0, 866.0)	(23.0, 1426.0)	(24.0, 2518.0)	(25.0, 3984.0)	(26.0, 6642.0)	(27.0, 10291.0)	(28.0, 16248.0)	(29.0, 24587.0)	(30.0, 35899.0)	(31.0, 50292.0)	(32.0, 68987.0)	(33.0, 92322.0)	(34.0, 121996.0)	(35.0, 163342.0)	(36.0, 233302.0)	(37.0, 371467.0)	(38.0, 790634.0)	(39.0, 5306761.0)	(40.0, 1702964.0)				
SRR34661427	(16.0, 5.0)	(17.0, 19.0)	(18.0, 35.0)	(19.0, 104.0)	(20.0, 242.0)	(21.0, 466.0)	(22.0, 958.0)	(23.0, 1595.0)	(24.0, 2599.0)	(25.0, 4336.0)	(26.0, 7036.0)	(27.0, 10894.0)	(28.0, 16986.0)	(29.0, 25584.0)	(30.0, 37787.0)	(31.0, 52861.0)	(32.0, 72709.0)	(33.0, 97195.0)	(34.0, 127537.0)	(35.0, 169377.0)	(36.0, 238262.0)	(37.0, 375892.0)	(38.0, 774518.0)	(39.0, 5497154.0)	(40.0, 2083951.0)					
SRR34661428	(16.0, 2.0)	(17.0, 17.0)	(18.0, 47.0)	(19.0, 141.0)	(20.0, 300.0)	(21.0, 704.0)	(22.0, 1315.0)	(23.0, 2279.0)	(24.0, 3957.0)	(25.0, 6410.0)	(26.0, 10766.0)	(27.0, 16976.0)	(28.0, 26526.0)	(29.0, 40510.0)	(30.0, 59633.0)	(31.0, 84112.0)	(32.0, 115963.0)	(33.0, 154751.0)	(34.0, 204088.0)	(35.0, 272238.0)	(36.0, 382425.0)	(37.0, 595931.0)	(38.0, 1274336.0)	(39.0, 8115672.0)	(40.0, 4558710.0)					
SRR34661429	(16.0, 2.0)	(17.0, 14.0)	(18.0, 33.0)	(19.0, 70.0)	(20.0, 191.0)	(21.0, 444.0)	(22.0, 865.0)	(23.0, 1592.0)	(24.0, 2788.0)	(25.0, 4364.0)	(26.0, 7440.0)	(27.0, 11735.0)	(28.0, 18287.0)	(29.0, 27811.0)	(30.0, 40579.0)	(31.0, 57179.0)	(32.0, 77824.0)	(33.0, 103003.0)	(34.0, 135369.0)	(35.0, 178388.0)	(36.0, 248261.0)	(37.0, 381412.0)	(38.0, 797541.0)	(39.0, 4951270.0)	(40.0, 3256955.0)					
SRR34661430	(13.0, 1.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 4.0)	(17.0, 26.0)	(18.0, 65.0)	(19.0, 135.0)	(20.0, 334.0)	(21.0, 652.0)	(22.0, 1346.0)	(23.0, 2346.0)	(24.0, 3927.0)	(25.0, 6366.0)	(26.0, 10518.0)	(27.0, 16215.0)	(28.0, 25339.0)	(29.0, 38618.0)	(30.0, 56137.0)	(31.0, 78119.0)	(32.0, 106555.0)	(33.0, 141822.0)	(34.0, 183166.0)	(35.0, 242580.0)	(36.0, 338775.0)	(37.0, 530800.0)	(38.0, 1093509.0)	(39.0, 7759445.0)	(40.0, 3228431.0)		
SRR34661431	(16.0, 4.0)	(17.0, 17.0)	(18.0, 38.0)	(19.0, 97.0)	(20.0, 250.0)	(21.0, 532.0)	(22.0, 1068.0)	(23.0, 1776.0)	(24.0, 3202.0)	(25.0, 5444.0)	(26.0, 9209.0)	(27.0, 14171.0)	(28.0, 23040.0)	(29.0, 34593.0)	(30.0, 51095.0)	(31.0, 71994.0)	(32.0, 97210.0)	(33.0, 130159.0)	(34.0, 170040.0)	(35.0, 225553.0)	(36.0, 316493.0)	(37.0, 493630.0)	(38.0, 1017717.0)	(39.0, 6580120.0)	(40.0, 2744518.0)					
SRR34661432	(14.0, 1.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 0.0)	(18.0, 8.0)	(19.0, 23.0)	(20.0, 64.0)	(21.0, 165.0)	(22.0, 402.0)	(23.0, 1155.0)	(24.0, 2890.0)	(25.0, 7455.0)	(26.0, 14571.0)	(27.0, 29226.0)	(28.0, 50638.0)	(29.0, 86361.0)	(30.0, 125967.0)	(31.0, 187715.0)	(32.0, 249865.0)	(33.0, 357686.0)	(34.0, 560895.0)	(35.0, 1300960.0)	(36.0, 4934857.0)	(37.0, 11373075.0)						
SRR34661433	(15.0, 2.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 11.0)	(19.0, 30.0)	(20.0, 79.0)	(21.0, 185.0)	(22.0, 448.0)	(23.0, 1237.0)	(24.0, 3308.0)	(25.0, 7961.0)	(26.0, 15601.0)	(27.0, 31424.0)	(28.0, 54789.0)	(29.0, 92261.0)	(30.0, 135440.0)	(31.0, 203851.0)	(32.0, 268630.0)	(33.0, 391842.0)	(34.0, 614179.0)	(35.0, 1447975.0)	(36.0, 5356830.0)	(37.0, 12845578.0)							
SRR34661434	(17.0, 1.0)	(18.0, 4.0)	(19.0, 31.0)	(20.0, 64.0)	(21.0, 144.0)	(22.0, 446.0)	(23.0, 1053.0)	(24.0, 2895.0)	(25.0, 7409.0)	(26.0, 14779.0)	(27.0, 29569.0)	(28.0, 51263.0)	(29.0, 86231.0)	(30.0, 127523.0)	(31.0, 190433.0)	(32.0, 251193.0)	(33.0, 360333.0)	(34.0, 555901.0)	(35.0, 1260923.0)	(36.0, 4752405.0)	(37.0, 11730848.0)									
SRR34661435	(16.0, 4.0)	(17.0, 8.0)	(18.0, 18.0)	(19.0, 49.0)	(20.0, 150.0)	(21.0, 425.0)	(22.0, 995.0)	(23.0, 2265.0)	(24.0, 5852.0)	(25.0, 14254.0)	(26.0, 27743.0)	(27.0, 55221.0)	(28.0, 92526.0)	(29.0, 153493.0)	(30.0, 221612.0)	(31.0, 324173.0)	(32.0, 423857.0)	(33.0, 603905.0)	(34.0, 916688.0)	(35.0, 2087114.0)	(36.0, 7694221.0)	(37.0, 20119727.0)								
SRR34661436	(16.0, 1.0)	(17.0, 1.0)	(18.0, 11.0)	(19.0, 20.0)	(20.0, 60.0)	(21.0, 188.0)	(22.0, 404.0)	(23.0, 1048.0)	(24.0, 2784.0)	(25.0, 6840.0)	(26.0, 13691.0)	(27.0, 26926.0)	(28.0, 46323.0)	(29.0, 78541.0)	(30.0, 114508.0)	(31.0, 171492.0)	(32.0, 225876.0)	(33.0, 325615.0)	(34.0, 500596.0)	(35.0, 1142520.0)	(36.0, 4142540.0)	(37.0, 10477647.0)								
SRR34661437	(16.0, 1.0)	(17.0, 8.0)	(18.0, 8.0)	(19.0, 20.0)	(20.0, 72.0)	(21.0, 210.0)	(22.0, 501.0)	(23.0, 1218.0)	(24.0, 3125.0)	(25.0, 7788.0)	(26.0, 15020.0)	(27.0, 30008.0)	(28.0, 51246.0)	(29.0, 86823.0)	(30.0, 127337.0)	(31.0, 190418.0)	(32.0, 252478.0)	(33.0, 368151.0)	(34.0, 580708.0)	(35.0, 1369062.0)	(36.0, 4872914.0)	(37.0, 11996220.0)								
SRR34661438	(16.0, 2.0)	(17.0, 3.0)	(18.0, 2.0)	(19.0, 27.0)	(20.0, 80.0)	(21.0, 177.0)	(22.0, 513.0)	(23.0, 1340.0)	(24.0, 3463.0)	(25.0, 8894.0)	(26.0, 17572.0)	(27.0, 35794.0)	(28.0, 62593.0)	(29.0, 107912.0)	(30.0, 158761.0)	(31.0, 239395.0)	(32.0, 320294.0)	(33.0, 463900.0)	(34.0, 733142.0)	(35.0, 1687623.0)	(36.0, 6440439.0)	(37.0, 15067586.0)								
SRR34661439	(16.0, 5.0)	(17.0, 2.0)	(18.0, 7.0)	(19.0, 29.0)	(20.0, 67.0)	(21.0, 186.0)	(22.0, 503.0)	(23.0, 1217.0)	(24.0, 3205.0)	(25.0, 8015.0)	(26.0, 15923.0)	(27.0, 31272.0)	(28.0, 53551.0)	(29.0, 89713.0)	(30.0, 130245.0)	(31.0, 193474.0)	(32.0, 251084.0)	(33.0, 359130.0)	(34.0, 553448.0)	(35.0, 1284763.0)	(36.0, 4470531.0)	(37.0, 11719421.0)								
SRR34661440	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 13.0)	(19.0, 32.0)	(20.0, 74.0)	(21.0, 213.0)	(22.0, 569.0)	(23.0, 1322.0)	(24.0, 3591.0)	(25.0, 8799.0)	(26.0, 17354.0)	(27.0, 34813.0)	(28.0, 59137.0)	(29.0, 98945.0)	(30.0, 142800.0)	(31.0, 211030.0)	(32.0, 277765.0)	(33.0, 399138.0)	(34.0, 621715.0)	(35.0, 1460871.0)	(36.0, 5272775.0)	(37.0, 12854124.0)						
SRR34661441	(18.0, 4.0)	(19.0, 6.0)	(20.0, 24.0)	(21.0, 78.0)	(22.0, 155.0)	(23.0, 400.0)	(24.0, 1018.0)	(25.0, 2469.0)	(26.0, 4781.0)	(27.0, 9909.0)	(28.0, 17769.0)	(29.0, 30327.0)	(30.0, 45974.0)	(31.0, 70894.0)	(32.0, 96827.0)	(33.0, 142285.0)	(34.0, 220455.0)	(35.0, 487987.0)	(36.0, 1828840.0)	(37.0, 4189633.0)										
SRR34661442	(16.0, 2.0)	(17.0, 2.0)	(18.0, 8.0)	(19.0, 20.0)	(20.0, 61.0)	(21.0, 213.0)	(22.0, 492.0)	(23.0, 1234.0)	(24.0, 3116.0)	(25.0, 7953.0)	(26.0, 15587.0)	(27.0, 31466.0)	(28.0, 54769.0)	(29.0, 93056.0)	(30.0, 138477.0)	(31.0, 210189.0)	(32.0, 281645.0)	(33.0, 410909.0)	(34.0, 643226.0)	(35.0, 1500352.0)	(36.0, 5646302.0)	(37.0, 13659325.0)								
SRR34661443	(18.0, 16.0)	(19.0, 37.0)	(20.0, 65.0)	(21.0, 212.0)	(22.0, 686.0)	(23.0, 1612.0)	(24.0, 4126.0)	(25.0, 10607.0)	(26.0, 19828.0)	(27.0, 37297.0)	(28.0, 63079.0)	(29.0, 103407.0)	(30.0, 142030.0)	(31.0, 206531.0)	(32.0, 267862.0)	(33.0, 368860.0)	(34.0, 579989.0)	(35.0, 1286751.0)	(36.0, 4212392.0)	(37.0, 11930095.0)										
