Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR34661426	(1, 31.374882789774613)	(2, 31.618659540551086)	(3, 35.6542728471221)	(4, 36.165737434245514)	(5, 36.43926771881298)	(6, 39.96223365785081)	(7, 40.16667128388798)	(8, 40.13963666806088)	(9, 40.22575290180384)	(10, 40.237846482208276)	(15, 40.268297996155226)	(20, 40.20018376806934)	(25, 40.11206762549987)	(30, 40.07383709692756)	(35, 40.016363051671)	(40, 39.972514383588795)	(45, 39.934015895327185)	(50, 39.82916053082717)	(55, 39.62788099622654)	(60, 39.45944089335957)	(65, 39.220567603751206)	(70, 39.12969512079048)	(75, 38.74435274479786)	(80, 39.146722797729794)	(85, 38.98209448979084)	(90, 38.85400424049788)	(95, 38.552929936018316)	(100, 37.932641035583536)	(105, 36.881841953978224)	(110, 35.65372955439811)	(115, 34.92359310623409)	(120, 34.24409682161978)	(125, 34.37644433501416)	(130, 34.11324120930649)	(135, 33.5438603169696)	(140, 32.538971573297125)	(145, 30.64360885466859)	(150, 27.088017880143074)
SRR34661427	(1, 31.35429351825068)	(2, 31.662831170623814)	(3, 35.7328879596216)	(4, 36.17465607089317)	(5, 36.469008366155265)	(6, 39.947269863363246)	(7, 40.14481593138576)	(8, 40.15196542506096)	(9, 40.19969122546329)	(10, 40.24143049266442)	(15, 40.280642384120526)	(20, 40.216116067549564)	(25, 40.120539549097614)	(30, 40.09464231702851)	(35, 40.025651005742894)	(40, 39.99345993806374)	(45, 39.95489204640106)	(50, 39.849346344507964)	(55, 39.66863170080993)	(60, 39.51129413220963)	(65, 39.31787675088468)	(70, 39.24645209659298)	(75, 38.89835317844906)	(80, 39.285180453324095)	(85, 39.13027860943321)	(90, 39.0147433302553)	(95, 38.743319734080366)	(100, 38.26053323197196)	(105, 37.420753757873854)	(110, 36.44425541434582)	(115, 35.90271382892398)	(120, 35.38842218626423)	(125, 35.60148114678283)	(130, 35.37490183231169)	(135, 34.75343760289299)	(140, 33.81408667860738)	(145, 31.98543557815711)	(150, 28.33290780278343)
SRR34661428	(1, 31.204100447707606)	(2, 31.631538450867257)	(3, 35.61660287246717)	(4, 36.16691727413997)	(5, 36.45978059247133)	(6, 39.95685496281565)	(7, 40.175208082578905)	(8, 40.18384777424119)	(9, 40.24874508552671)	(10, 40.271214905058756)	(15, 40.304429650700605)	(20, 40.26775702510158)	(25, 40.17794001832589)	(30, 40.12611901390055)	(35, 40.07897387227386)	(40, 40.06700903525259)	(45, 40.05338274816877)	(50, 39.99281006676137)	(55, 39.829104647194455)	(60, 39.68334501961759)	(65, 39.489521959270796)	(70, 39.39117116492343)	(75, 39.03189556684028)	(80, 39.34635951054965)	(85, 39.106317672334754)	(90, 38.95099122880471)	(95, 38.678837581235996)	(100, 38.32099767768935)	(105, 37.73878794225617)	(110, 37.0510846478831)	(115, 36.567686407614154)	(120, 36.25713501908659)	(125, 36.44701969557292)	(130, 36.28801193573991)	(135, 35.692688759600365)	(140, 34.74077266056127)	(145, 32.65871889155382)	(150, 28.65039585986097)
SRR34661429	(1, 31.301316727001577)	(2, 31.592280084745045)	(3, 35.62147803341444)	(4, 36.14335067574537)	(5, 36.42849875131252)	(6, 39.98303861377936)	(7, 40.15618112985504)	(8, 40.13132749767087)	(9, 40.2614366415802)	(10, 40.25102203675554)	(15, 40.28365832122971)	(20, 40.22345255917527)	(25, 40.12136616048466)	(30, 40.090616626734594)	(35, 40.04357659643746)	(40, 40.00142028033657)	(45, 39.993651470272724)	(50, 39.91441055754581)	(55, 39.74223789318302)	(60, 39.59669133626746)	(65, 39.41810997911788)	(70, 39.324790892965666)	(75, 38.973083311819956)	(80, 39.33567285468711)	(85, 39.17044927542044)	(90, 39.04365008735586)	(95, 38.759742353786564)	(100, 38.24771937153574)	(105, 37.38667937714797)	(110, 36.33595086630371)	(115, 35.68969349750715)	(120, 35.16919765629872)	(125, 35.23059988083517)	(130, 34.88219376622705)	(135, 34.17674739484616)	(140, 33.12806807835329)	(145, 31.174680954204984)	(150, 27.53557593617109)
SRR34661430	(1, 31.39370421001978)	(2, 31.644054708882116)	(3, 35.67398925294996)	(4, 36.17863853947448)	(5, 36.4582202659952)	(6, 40.008281748887946)	(7, 40.16604403689276)	(8, 40.193878877083606)	(9, 40.231204417622955)	(10, 40.245823897724215)	(15, 40.273255513239256)	(20, 40.22334665372805)	(25, 40.14352193982679)	(30, 40.08059266230092)	(35, 40.05177871490288)	(40, 40.01557464880678)	(45, 39.983369406197525)	(50, 39.894538041253284)	(55, 39.718407460576096)	(60, 39.57185985261589)	(65, 39.34855487772917)	(70, 39.24413310826357)	(75, 38.870959817996656)	(80, 39.21063471071966)	(85, 39.01510571862828)	(90, 38.86509022369574)	(95, 38.54148035616963)	(100, 37.907540516836725)	(105, 36.91770127287129)	(110, 35.74563866298719)	(115, 34.95072436804448)	(120, 34.27707663964172)	(125, 34.34399240280801)	(130, 33.90801078041835)	(135, 33.26571946902449)	(140, 32.18796072995508)	(145, 30.308200172362053)	(150, 26.762295355286355)
SRR34661431	(1, 31.286988703580935)	(2, 31.632639758588883)	(3, 35.609691056657844)	(4, 36.08510154343146)	(5, 36.409800392269155)	(6, 39.936148481227335)	(7, 40.118411483287915)	(8, 40.08610014998526)	(9, 40.18089824973354)	(10, 40.20046397992385)	(15, 40.22669361101031)	(20, 40.170700112563665)	(25, 40.07464597439908)	(30, 40.02334036133955)	(35, 39.96872936281194)	(40, 39.939962841279815)	(45, 39.89810477378437)	(50, 39.80085121594696)	(55, 39.61380006888278)	(60, 39.45722802037309)	(65, 39.23063752023167)	(70, 39.12823106897177)	(75, 38.74440352650477)	(80, 39.130680457296414)	(85, 38.91860085641621)	(90, 38.76548492367904)	(95, 38.47957358748961)	(100, 38.01829296785811)	(105, 37.35366743410221)	(110, 36.502563502073464)	(115, 35.93514849825596)	(120, 35.418874865753686)	(125, 35.636063824744966)	(130, 35.44874808159973)	(135, 34.878290268078)	(140, 33.894140763646995)	(145, 31.82826703541742)	(150, 27.906135125719036)
SRR34661432	(1, 35.75405543100854)	(2, 35.65287861243471)	(3, 36.12688026709168)	(4, 36.163017224222465)	(5, 36.35289747267321)	(6, 36.4096283436489)	(7, 36.39615345024488)	(8, 36.43550881250127)	(9, 36.46048841712707)	(10, 36.44562712486081)	(15, 36.45426507297652)	(20, 36.36848768711522)	(25, 36.362573412381856)	(30, 35.98612187305195)	(35, 36.07697136143433)	(40, 36.31310347338409)	(45, 36.298261617494816)	(50, 36.25007044384687)	(55, 36.239219929498354)	(60, 36.154537951007036)	(65, 36.12724041285756)	(70, 36.055233553839535)	(75, 36.02638615680359)	(80, 35.98731161933516)	(85, 35.87687537747271)	(90, 35.80852927308838)	(95, 35.73635388640585)	(100, 35.51805860834719)	(105, 35.32365131821663)	(110, 35.21636172936588)	(115, 35.2757268056371)	(120, 35.07727760527106)	(125, 35.07095134587768)	(130, 34.96515218891939)	(135, 34.89743830504912)	(140, 34.92552495343124)	(145, 34.865199147838844)	(150, 34.95600697754419)
SRR34661433	(1, 35.783680062361654)	(2, 35.692998381330206)	(3, 36.17161867487921)	(4, 36.20043140977893)	(5, 36.39013725996547)	(6, 36.43521494441591)	(7, 36.42007383404088)	(8, 36.46491619841447)	(9, 36.47909751825631)	(10, 36.468230291851725)	(15, 36.48324218106867)	(20, 36.39310958398451)	(25, 36.39265491066682)	(30, 36.107131523717136)	(35, 36.15348544624461)	(40, 36.323014918411516)	(45, 36.31144574647216)	(50, 36.282193110580934)	(55, 36.277784898591584)	(60, 36.17824154621958)	(65, 36.159148320942165)	(70, 36.08759833832593)	(75, 36.092920359491636)	(80, 36.10541012913346)	(85, 36.05013996544667)	(90, 36.04971782690731)	(95, 36.05324577694412)	(100, 35.92905934175964)	(105, 35.81113183813182)	(110, 35.69917607836385)	(115, 35.91079276119807)	(120, 35.68491144652288)	(125, 35.79357557914791)	(130, 35.66780087035536)	(135, 35.60050628515562)	(140, 35.668760315639666)	(145, 35.62772351210126)	(150, 35.66107689892336)
SRR34661434	(1, 35.7245540927225)	(2, 35.616593563342896)	(3, 36.12318845479179)	(4, 36.149349762751974)	(5, 36.31302727101814)	(6, 36.414098138409344)	(7, 36.3971007618499)	(8, 36.463804144035684)	(9, 36.462945670115715)	(10, 36.44993374303392)	(15, 36.465552469673476)	(20, 36.39123859165569)	(25, 36.3760483430584)	(30, 36.17382131972341)	(35, 36.190173406593466)	(40, 36.334766220206305)	(45, 36.29962178325202)	(50, 36.26421903489072)	(55, 36.26255643089956)	(60, 36.17815916828522)	(65, 36.15791114289311)	(70, 36.081642518774615)	(75, 36.02536638606533)	(80, 35.99879223387548)	(85, 35.91310121093161)	(90, 35.851845981211945)	(95, 35.78758739314619)	(100, 35.58647664117147)	(105, 35.3796387640992)	(110, 35.20548046999941)	(115, 35.30225891459821)	(120, 35.04043717020736)	(125, 35.0871887205338)	(130, 34.941921514848154)	(135, 34.8501821773649)	(140, 34.94850330731047)	(145, 34.90548834918933)	(150, 35.0397893720405)
SRR34661435	(1, 35.77056157464836)	(2, 35.68037804542261)	(3, 36.13168508974405)	(4, 36.17824527279609)	(5, 36.369682473934766)	(6, 36.40776947020218)	(7, 36.410805493208166)	(8, 36.45027054170275)	(9, 36.47543100890777)	(10, 36.46703226047764)	(15, 36.47106275389492)	(20, 36.396476190150096)	(25, 36.38702848286658)	(30, 36.18498447716515)	(35, 36.22437344030931)	(40, 36.32654966953589)	(45, 36.29913426685334)	(50, 36.2720268651929)	(55, 36.25368793047132)	(60, 36.1724874512155)	(65, 36.14898831715107)	(70, 36.086456017979515)	(75, 36.0418726033736)	(80, 36.01572425380028)	(85, 35.93800294650787)	(90, 35.87524639601382)	(95, 35.79222336952111)	(100, 35.59767572427397)	(105, 35.38744292213235)	(110, 35.23071625902183)	(115, 35.31096185915234)	(120, 35.09112153917816)	(125, 35.120869467790286)	(130, 34.985797333061946)	(135, 34.9244617045848)	(140, 34.96707395802368)	(145, 34.86667086676746)	(150, 34.95059486493059)
