Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR34661419 - polya	(1, 0.0015005198860075638)	(2, 0.0026087469913595555)	(3, 0.004491752338506302)	(4, 0.006100152739194148)	(5, 0.007845855613111444)	(6, 0.010582097758184061)	(7, 0.019683290269393337)	(8, 0.029598490300462924)	(9, 0.04058268815881895)	(10, 0.0762381789926039)	(15, 0.15901980156654277)	(20, 0.197282077927784)	(25, 0.21393490646661303)	(30, 0.226725612579888)	(35, 0.23529132544550238)	(40, 0.24325290742890723)	(45, 0.25005526424547486)	(50, 0.25753628757257657)	(55, 0.26047456049968687)	(60, 0.2618475852319814)	(65, 0.2628243942558137)	(70, 0.26361486420883473)	(75, 0.26420526484372137)	(80, 0.26461521079950645)	(85, 0.26480547279812433)	(90, 0.26489373867377186)	(95, 0.26500161918845216)	(100, 0.26511930702264885)	(105, 0.26519580411487664)	(110, 0.2653232992685898)	(115, 0.2654527558862061)	(120, 0.26550571541159457)	(125, 0.2655665207925962)	(130, 0.2657077461936322)	(135, 0.26585681745028134)	(140, 0.26590585404786327)																																						
SRR34661419 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0014612906079420065)	(4, 0.0016574369982697928)	(5, 0.0016770516373025713)	(6, 0.0016966662763353499)	(7, 0.0017260882348845178)	(8, 0.001765317512950075)	(9, 0.001794739471499243)	(10, 0.0018202385022418552)	(15, 0.0018692750998238017)	(20, 0.0019006585222762474)	(25, 0.0019281190169221376)	(30, 0.0019516565837614716)	(35, 0.001992847325730307)	(40, 0.0020850361291843665)	(45, 0.0021262268711532014)	(50, 0.0022478376331564287)	(55, 0.002336103508803933)	(60, 0.002442022559580937)	(65, 0.0035031745312542597)	(70, 0.005776511195153301)	(75, 0.01415000059824649)	(80, 0.03324092876884992)	(85, 0.07013606478950649)	(90, 0.15476538636033305)	(95, 0.2912813125645689)	(100, 1.9644963264723287)	(105, 3.113337503405592)	(110, 8.270998991219113)	(115, 23.751868539550863)	(120, 36.54666626652803)	(125, 52.45522125018609)	(130, 68.94052115703617)	(135, 86.18481736711524)	(140, 89.59684659371197)																																						
SRR34661420 - illumina_universal_adapter	(1, 0.00016230898160284502)	(2, 0.00028404071780497876)	(3, 0.0004463496994078238)	(4, 0.0006248895791709533)	(5, 0.0008196603570943674)	(6, 0.0008521221534149363)	(7, 0.0011199319730596307)	(8, 0.017034327619218585)	(9, 0.01709113576277958)	(10, 0.019920181312117168)	(15, 0.020296738149435768)	(20, 0.021056344183337083)	(25, 0.08285548892862034)	(30, 0.7151982965347763)	(35, 1.6562982336643923)	(40, 8.399897193491054)	(45, 21.2341130954376)	(50, 35.33807378355302)	(55, 51.54858268956857)	(60, 66.02589623570574)	(65, 75.66002825637062)	(70, 80.63695238268367)	(75, 85.7434899693455)	(80, 87.89730093959858)	(85, 89.5593627651997)	(90, 90.76564473956185)	(95, 92.84820693616072)	(100, 95.13634157340866)	(105, 96.78268702032116)	(110, 97.77375702361685)	(115, 98.0154772975587)	(120, 98.25129439383966)	(125, 98.33773366508207)	(130, 98.39965129538392)	(135, 98.44038273431717)	(140, 98.4607508884185)																																						
SRR34661420 - polya	(1, 0.003822376516747)	(2, 0.005859354235862705)	(3, 0.010055041410296249)	(4, 0.014510422955294344)	(5, 0.018827841865930024)	(6, 0.022918028202321715)	(7, 0.03724991127785293)	(8, 0.052839688960806194)	(9, 0.06889204724132757)	(10, 0.11913154631685619)	(15, 0.2105050105999938)	(20, 0.2527848772177189)	(25, 0.272469710506512)	(30, 0.287991318417192)	(35, 0.30143861754298773)	(40, 0.3163499436828411)	(45, 0.32798100530450097)	(50, 0.34033434189429357)	(55, 0.3464209287044002)	(60, 0.3495762153067595)	(65, 0.3519085953723924)	(70, 0.3538205951756739)	(75, 0.3552424218545149)	(80, 0.3558332265475492)	(85, 0.356281199336773)	(90, 0.3566366560064833)	(95, 0.3569304352631844)	(100, 0.3571170905920277)	(105, 0.35730374592087094)	(110, 0.35749040124971426)	(115, 0.3576251177044446)	(120, 0.35773711090175053)	(125, 0.3578361193805283)	(130, 0.3579399971287541)	(135, 0.35817372206226217)	(140, 0.35828896143920025)																																						
SRR34661420 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001679897959589446)	(4, 0.0018422069411922909)	(5, 0.0018908996356731445)	(6, 0.0019233614319937135)	(7, 0.0020126313718752784)	(8, 0.0020613240663561318)	(9, 0.002069439515436274)	(10, 0.0020791780543324445)	(15, 0.0021051474913889)	(20, 0.00214734782660564)	(25, 0.0021976636109025216)	(30, 0.0022658333831757165)	(35, 0.002317772257288627)	(40, 0.0023323800656328826)	(45, 0.0023810727601137364)	(50, 0.002532020113004382)	(55, 0.002692706004791199)	(60, 0.0028176839206253894)	(65, 0.003148794243095193)	(70, 0.004203802623513686)	(75, 0.006580006114179337)	(80, 0.024101260678206456)	(85, 0.02921886286814416)	(90, 0.03784396215051934)	(95, 0.05630011644857885)	(100, 0.541693241380967)	(105, 1.1114156207949293)	(110, 4.6061682119969545)	(115, 16.77288031165272)	(120, 29.69302908081908)	(125, 46.65981019425383)	(130, 60.607777343240556)	(135, 74.08118224563728)	(140, 77.76861182890003)																																						
SRR34661421 - illumina_universal_adapter	(1, 7.000053060402198e-05)	(2, 0.00017500132651005496)	(3, 0.001022007746818721)	(4, 0.0012880097631140044)	(5, 0.0014560110365636572)	(6, 0.0016870127875569297)	(7, 0.002310017509932725)	(8, 0.026663202107071973)	(9, 0.026768202902978006)	(10, 0.028743617876623506)	(15, 0.0290376201051604)	(20, 0.029468823373681174)	(25, 0.05343560504188623)	(30, 0.3817380935747493)	(35, 1.2244296811769833)	(40, 5.67560102105574)	(45, 14.76166149339412)	(50, 27.563917134491874)	(55, 43.157574134411945)	(60, 62.71914261110099)	(65, 76.29302250111054)	(70, 82.12453710399124)	(75, 86.94129041498135)	(80, 88.91820199997116)	(85, 90.34742243346204)	(90, 91.41208010356716)	(95, 93.29408496916406)	(100, 95.37611495095132)	(105, 96.93195514421998)	(110, 97.91203397321752)	(115, 98.16160546496943)	(120, 98.38644716926954)	(125, 98.47097981002695)	(130, 98.53073506297177)	(135, 98.57017896195653)	(140, 98.58969230986771)																																						
SRR34661421 - polya	(1, 0.0013020098692348087)	(2, 0.002366017934415943)	(3, 0.004508034170899016)	(4, 0.006041045791127097)	(5, 0.008162061868428962)	(6, 0.010143076884522784)	(7, 0.016667126336817634)	(8, 0.0242061834828708)	(9, 0.03213024354724609)	(10, 0.061219664045053454)	(15, 0.11228085108885126)	(20, 0.13519622478738388)	(25, 0.14544010243597644)	(30, 0.15302115990039206)	(35, 0.1592008067421151)	(40, 0.16632826076821663)	(45, 0.17210890458549674)	(50, 0.17805894968683864)	(55, 0.1806895696269378)	(60, 0.18209238026024235)	(65, 0.18321098873929467)	(70, 0.18404259504287043)	(75, 0.1846305994999442)	(80, 0.18490780160113612)	(85, 0.18508560294887036)	(90, 0.18521580393579384)	(95, 0.185323604752924)	(100, 0.18542860554883006)	(105, 0.18557140663126226)	(110, 0.18566520734227168)	(115, 0.18574500794716026)	(120, 0.1858402086687817)	(125, 0.1859046091569374)	(130, 0.18598160974060185)	(135, 0.18612581083364613)	(140, 0.18618741130057767)																																						
SRR34661421 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001414010718201244)	(4, 0.0015680118855300924)	(5, 0.0016310123630737122)	(6, 0.0016520125222549188)	(7, 0.0017150129997985386)	(8, 0.0017500132651005495)	(9, 0.0017640133712213538)	(10, 0.001808813710807928)	(15, 0.0018494140185582608)	(20, 0.0018732141989636283)	(25, 0.0018928143475327544)	(30, 0.001913814506713961)	(35, 0.0019740149630334196)	(40, 0.0020146152707837526)	(45, 0.002063615642206568)	(50, 0.0021462162683193137)	(55, 0.002241416989940784)	(60, 0.0023716179768642647)	(65, 0.0027566208951863855)	(70, 0.0038962295334198636)	(75, 0.007588057517475983)	(80, 0.03235284523456688)	(85, 0.036579477272437724)	(90, 0.04483813987310024)	(95, 0.061992469902921864)	(100, 0.3108051559030818)	(105, 0.7950254262927313)	(110, 3.457898810872986)	(115, 11.458437254954394)	(120, 22.68940778571102)	(125, 38.3612119779868)	(130, 55.41667745841513)	(135, 73.8392141012429)	(140, 79.00642786872325)																																						
SRR34661422 - illumina_universal_adapter	(1, 2.838144319070996e-05)	(2, 8.514432957212988e-05)	(3, 0.0002554329887163896)	(4, 0.00043991236945600435)	(5, 0.000695345358172394)	(6, 0.0008940154605073638)	(7, 0.001156543810021431)	(8, 0.014190721595354979)	(9, 0.0142474844817364)	(10, 0.01666842158590396)	(15, 0.016928111791098953)	(20, 0.017369443232714495)	(25, 0.05029191733393805)	(30, 0.40945766184021304)	(35, 1.2770414843040687)	(40, 7.395571189315862)	(45, 18.634496395414807)	(50, 31.00521253585641)	(55, 46.765856499449825)	(60, 64.54288421875394)	(65, 76.4395138939936)	(70, 82.25398894088684)	(75, 87.45654304372246)	(80, 89.90820306014396)	(85, 91.9593853033508)	(90, 93.18191880693493)	(95, 94.76864157047014)	(100, 96.28229630851084)	(105, 97.29945601287837)	(110, 97.94565606402173)	(115, 98.16136354670408)	(120, 98.32074805537448)	(125, 98.39974780249581)	(130, 98.4616633398885)	(135, 98.50689910311802)	(140, 98.5314518896223)																																						
SRR34661422 - polya	(1, 0.0016886958698472425)	(2, 0.0031787216373595152)	(3, 0.006130391729193351)	(4, 0.007932613371803433)	(5, 0.01054370614534875)	(6, 0.013374755103622068)	(7, 0.02354240712669391)	(8, 0.034838221516596476)	(9, 0.047077718892590145)	(10, 0.08770007853145331)	(15, 0.15640019991888585)	(20, 0.188547860621003)	(25, 0.20476501726017465)	(30, 0.21802198937455533)	(35, 0.22918299190930197)	(40, 0.24036244238212262)	(45, 0.25033568151933816)	(50, 0.2618585474547664)	(55, 0.2673631283616046)	(60, 0.27002105051641456)	(65, 0.27173528968513344)	(70, 0.2732820783390271)	(75, 0.2744187551388151)	(80, 0.2749906412191079)	(85, 0.27530283709420567)	(90, 0.27562496647442025)	(95, 0.2757909979170859)	(100, 0.27591303812280593)	(105, 0.27608048863763107)	(110, 0.27623374843086096)	(115, 0.27635578863658106)	(120, 0.27643099946103644)	(125, 0.2764849242030987)	(130, 0.2765814211099472)	(135, 0.27676164327420816)	(140, 0.27682550152138724)																																						
