Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR34661422 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001376499994749433)	(4, 0.0015893608186797576)	(5, 0.0016248376226681452)	(6, 0.0016957912306449201)	(7, 0.0017880309210147275)	(8, 0.0018306030858007923)	(9, 0.0018802706113845349)	(10, 0.001908652054575245)	(15, 0.0019966345284664457)	(20, 0.0020108252500618)	(25, 0.0020562355591669363)	(30, 0.0020732644250813625)	(35, 0.0020988077239530016)	(40, 0.002142798960898602)	(45, 0.002196723702960951)	(50, 0.0023074113314047197)	(55, 0.002437965970081985)	(60, 0.00252169122749458)	(65, 0.0028253726696351763)	(70, 0.0038754860676914445)	(75, 0.007139352034623091)	(80, 0.0232742024885417)	(85, 0.049003399813079815)	(90, 0.11567992430101473)	(95, 0.20204181778602606)	(100, 0.5594649416803914)	(105, 1.107739080310686)	(110, 4.425165087759679)	(115, 15.132693180421686)	(120, 26.517269114831038)	(125, 42.14996385623209)	(130, 58.405774601957354)	(135, 74.58685416961715)	(140, 78.9709399565026)																																						
SRR34661423 - illumina_universal_adapter	(1, 1.936555723325833e-05)	(2, 5.809667169977499e-05)	(3, 0.0002808005798822458)	(4, 0.0003195316943487625)	(5, 0.0004163594805150541)	(6, 0.000639063388697525)	(7, 0.0007939878465635916)	(8, 0.009460074708446694)	(9, 0.009469757487063324)	(10, 0.01344937949849791)	(15, 0.01371468763259355)	(20, 0.0147003944957664)	(25, 0.16725838126792889)	(30, 2.15514057748479)	(35, 3.755053200090553)	(40, 9.444640359331789)	(45, 19.500020043351736)	(50, 32.29618961359323)	(55, 46.05702924218508)	(60, 60.43863568100047)	(65, 71.11840934411376)	(70, 77.01694118312322)	(75, 82.01548392494144)	(80, 84.25331349525649)	(85, 85.88347705481634)	(90, 87.26894905251106)	(95, 90.1383146194271)	(100, 93.49595947331107)	(105, 95.84237365958874)	(110, 97.27621307302925)	(115, 97.6163574664971)	(120, 97.91734857635075)	(125, 98.01911070650007)	(130, 98.09412512899881)	(135, 98.14596478915652)	(140, 98.1706616842961)																																						
SRR34661423 - polya	(1, 0.0052480660102130075)	(2, 0.007920512908402658)	(3, 0.012577929423001285)	(4, 0.01659628254890239)	(5, 0.021515134086150006)	(6, 0.027082731790711776)	(7, 0.042875343714433946)	(8, 0.05952004015641948)	(9, 0.07634870939212096)	(10, 0.13028372284246875)	(15, 0.21966545225257256)	(20, 0.25733920729415327)	(25, 0.2748437344772955)	(30, 0.28825631941705027)	(35, 0.3011092397527638)	(40, 0.31440369479339564)	(45, 0.3257596575549783)	(50, 0.338078088511054)	(55, 0.34404461669462083)	(60, 0.34719539285647194)	(65, 0.34933335037502367)	(70, 0.35141902088904564)	(75, 0.353043791140916)	(80, 0.35379711131728975)	(85, 0.35420185146346483)	(90, 0.35464338616838315)	(95, 0.3550132683115384)	(100, 0.35517981210374433)	(105, 0.3554354374592234)	(110, 0.3556697607017459)	(115, 0.35579563682376203)	(120, 0.355962180615968)	(125, 0.3560493256235177)	(130, 0.35616164585547055)	(135, 0.3564366367681829)	(140, 0.3566264192290688)																																						
SRR34661423 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001820362379926283)	(4, 0.001984969616408979)	(5, 0.002033383509492125)	(6, 0.0021398940742750456)	(7, 0.002275452974907854)	(8, 0.002343232425224258)	(9, 0.002401329096924033)	(10, 0.0025020299945369764)	(15, 0.0026240330051065038)	(20, 0.0026608275638496945)	(25, 0.0026763200096363016)	(30, 0.0027014952340395373)	(35, 0.002759591905739312)	(40, 0.0028157520217157615)	(45, 0.002875785249138862)	(50, 0.0030384559298982316)	(55, 0.003489673413433151)	(60, 0.003658153761362499)	(65, 0.004082259464770856)	(70, 0.005921987401930397)	(75, 0.13302201263525146)	(80, 0.24355093054407337)	(85, 0.5439843123493965)	(90, 1.0532674826925175)	(95, 1.7695916985278497)	(100, 3.542355475330507)	(105, 5.2288089001002565)	(110, 9.286952436448534)	(115, 18.099206651216825)	(120, 29.806555512241253)	(125, 44.04526350423244)	(130, 57.89790942999999)	(135, 70.25691510159075)	(140, 74.42565146218672)																																						
SRR34661424 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 5.578846309088281e-06)	(5, 5.578846309088281e-06)	(6, 5.578846309088281e-06)	(7, 5.578846309088281e-06)	(8, 5.578846309088281e-06)	(9, 5.578846309088281e-06)	(10, 5.578846309088281e-06)	(15, 5.578846309088281e-06)	(20, 5.578846309088281e-06)	(25, 7.810384832723595e-06)	(30, 7.810384832723594e-05)	(35, 0.0035347570214383345)	(40, 0.021875772147196968)	(45, 0.03555621906634325)	(50, 0.051194841039979525)	(55, 0.06985161886683254)	(60, 0.0874606893568388)	(65, 0.10726559375410219)	(70, 0.11623861015763978)	(75, 0.12445848230945045)	(80, 0.1304512790146731)	(85, 0.1357467199312597)	(90, 0.13930267656867257)	(95, 0.14969048839619492)	(100, 0.16080466601316062)	(105, 0.16790430582610638)	(110, 0.1711846674558503)	(115, 0.1721922070992716)	(120, 0.17388148176166354)	(125, 0.1746123106281541)	(130, 0.17566782834983363)	(135, 0.17623240759631337)	(140, 0.1763361741376624)																																						
SRR34661425 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 7.532187863310374e-06)	(6, 7.532187863310374e-06)	(7, 7.532187863310374e-06)	(8, 7.532187863310374e-06)	(9, 7.532187863310374e-06)	(10, 1.0545063008634522e-05)	(15, 1.5064375726620748e-05)	(20, 1.5064375726620748e-05)	(25, 1.5064375726620748e-05)	(30, 0.0001476308821208833)	(35, 0.0024419353052852234)	(40, 0.01404451748992852)	(45, 0.0229430442316434)	(50, 0.03570407690966383)	(55, 0.05673093254888108)	(60, 0.07731338910416301)	(65, 0.09845021468618458)	(70, 0.10977711879503071)	(75, 0.12049240924937606)	(80, 0.12646392778740853)	(85, 0.1315873219720322)	(90, 0.13671523546937392)	(95, 0.15168922494163498)	(100, 0.17240123512816583)	(105, 0.1844919030863516)	(110, 0.18862707422330902)	(115, 0.18988946890919986)	(120, 0.1915405244888375)	(125, 0.19232387202662177)	(130, 0.19327744701011684)	(135, 0.19380168728540328)	(140, 0.19386345122588242)																																						
SRR34661425 - polya	(1, 0.006650921883303061)	(2, 0.008308003213231342)	(3, 0.01269173654967798)	(4, 0.014235835061656607)	(5, 0.015569032313462542)	(6, 0.01896604903981552)	(7, 0.036742012397228005)	(8, 0.0636771161964259)	(9, 0.087923228928422)	(10, 0.1678548065338717)	(15, 0.3217946492090638)	(20, 0.37358296008204056)	(25, 0.39572006021230977)	(30, 0.4103671527313032)	(35, 0.4239401552609884)	(40, 0.43513901217615836)	(45, 0.4427661056065463)	(50, 0.45006630208366677)	(55, 0.45464436586698687)	(60, 0.4573845758116592)	(65, 0.45929624509136724)	(70, 0.4614007383803763)	(75, 0.46304124889700526)	(80, 0.4637809097451823)	(85, 0.4642705019562975)	(90, 0.4646651886003349)	(95, 0.4650613816819451)	(100, 0.4653174760692977)	(105, 0.46571969490119847)	(110, 0.466078227043492)	(115, 0.46634938580657115)	(120, 0.46663259607023166)	(125, 0.4669399093350547)	(130, 0.46717039428367196)	(135, 0.467491265486649)	(140, 0.4676509478693512)																																						
SRR34661426 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 3.1934671880427646e-06)	(30, 8.782034767117602e-05)	(35, 0.0038848528342540238)	(40, 0.02306960696642093)	(45, 0.03785695678065295)	(50, 0.05647806395413031)	(55, 0.07638773513798293)	(60, 0.09101381485921879)	(65, 0.107458574144045)	(70, 0.11543745191336988)	(75, 0.12188825563321623)	(80, 0.12557830696899966)	(85, 0.12870471134609351)	(90, 0.13193330667320474)	(95, 0.14146101602873035)	(100, 0.15428438352231608)	(105, 0.162268051492423)	(110, 0.16513259156009735)	(115, 0.16602356890556128)	(120, 0.16690336911586706)	(125, 0.16735364798938107)	(130, 0.16803066303324615)	(135, 0.16835160648564446)	(140, 0.16844741050128573)																																						
SRR34661426 - polya	(1, 0.006227261016683391)	(2, 0.007560533567691245)	(3, 0.010426670368959627)	(4, 0.011464547205073524)	(5, 0.012733950412320524)	(6, 0.015775727908931256)	(7, 0.030713170681001288)	(8, 0.054919651966365446)	(9, 0.0747430995361409)	(10, 0.13845915687197013)	(15, 0.24171193472936287)	(20, 0.27354441565977317)	(25, 0.2874136436574428)	(30, 0.2954084887627079)	(35, 0.3024676479818765)	(40, 0.3078933487343611)	(45, 0.31151314379200756)	(50, 0.3150099903629144)	(55, 0.3170059073554411)	(60, 0.3183455668408251)	(65, 0.31946008688945204)	(70, 0.3208236973787463)	(75, 0.3218216558750096)	(80, 0.3223278204243144)	(85, 0.322672714880623)	(90, 0.3230814786806925)	(95, 0.3234279698705951)	(100, 0.32368025377845056)	(105, 0.3240538894394515)	(110, 0.3244291218340466)	(115, 0.3247101469465943)	(120, 0.3250997499435355)	(125, 0.3254701921373485)	(130, 0.32575121724989625)	(135, 0.32602266196087987)	(140, 0.32615678758277766)																																						
SRR34661427 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 6.874182659681764e-06)	(6, 6.874182659681764e-06)	(7, 6.874182659681764e-06)	(8, 6.874182659681764e-06)	(9, 6.874182659681764e-06)	(10, 6.874182659681764e-06)	(15, 6.874182659681764e-06)	(20, 6.874182659681764e-06)	(25, 1.2373528787427177e-05)	(30, 0.0001567313646407442)	(35, 0.0036680638672061893)	(40, 0.022400211614839)	(45, 0.03472424628711646)	(50, 0.04835437566473346)	(55, 0.06859196941483657)	(60, 0.08325047651834197)	(65, 0.09777287480518566)	(70, 0.10701590080939376)	(75, 0.1161613134198344)	(80, 0.12139806576997994)	(85, 0.12617424788192685)	(90, 0.13081157150414818)	(95, 0.1443097165746993)	(100, 0.16283701367907355)	(105, 0.17386732717479894)	(110, 0.17787635050192532)	(115, 0.17910545436147643)	(120, 0.18083224904558848)	(125, 0.18165165161862254)	(130, 0.18276664404602294)	(135, 0.1834540623119911)	(140, 0.18364378975339832)																																						
SRR34661427 - polya	(1, 0.007149149966069034)	(2, 0.009252649859931654)	(3, 0.013205304889248669)	(4, 0.014855108727572291)	(5, 0.01651866093121528)	(6, 0.02061567379638561)	(7, 0.0417675338402264)	(8, 0.0732031711429511)	(9, 0.1002324573608198)	(10, 0.1828835051512375)	(15, 0.3104009683248662)	(20, 0.3506823038740694)	(25, 0.3682623386079395)	(30, 0.37959924065028666)	(35, 0.38994763522617165)	(40, 0.3982598968982588)	(45, 0.4041716939855851)	(50, 0.4096132969789892)	(55, 0.41313287850074626)	(60, 0.4157794388247237)	(65, 0.4177317067000733)	(70, 0.42004143207372646)	(75, 0.42176685192130653)	(80, 0.42279935415679076)	(85, 0.42360638320103733)	(90, 0.42430480015926103)	(95, 0.4249372249639518)	(100, 0.42551328147083306)	(105, 0.4262350706500997)	(110, 0.42704209969434637)	(115, 0.4277460159986977)	(120, 0.4283165731594513)	(125, 0.4288678826087578)	(130, 0.42947006100974594)	(135, 0.43023996946763027)	(140, 0.4305644308891673)																																						
SRR34661428 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 6.301435763328418e-05)	(35, 0.00251399071572789)	(40, 0.018519637554582073)	(45, 0.031171415746864745)	(50, 0.04246697448083105)	(55, 0.056295334186535186)	(60, 0.07539903019022579)	(65, 0.09426947901939314)	(70, 0.10247075063972506)	(75, 0.11085071969215135)	(80, 0.11615615239975367)	(85, 0.12164874715465487)	(90, 0.12514463323410138)	(95, 0.1317460925807883)	(100, 0.13891185960777325)	(105, 0.14346676310057913)	(110, 0.14557539279929294)	(115, 0.14676796303032283)	(120, 0.1478269804436822)	(125, 0.14872611068095715)	(130, 0.1500785680880715)	(135, 0.15102378345257078)	(140, 0.15131910447192676)																																						
SRR34661428 - polya	(1, 0.008196569056329428)	(2, 0.009757820305154081)	(3, 0.013764404835270359)	(4, 0.015367979160117366)	(5, 0.016463676572696113)	(6, 0.01781331244140899)	(7, 0.02098754314308562)	(8, 0.02510698920926151)	(9, 0.0301904608959466)	(10, 0.050937232762105045)	(15, 0.10225631372121177)	(20, 0.14063864110948535)	(25, 0.17214864146452893)	(30, 0.19574798865459409)	(35, 0.21759610101013424)	(40, 0.23669039188581986)	(45, 0.25148653926323516)	(50, 0.267309726618793)	(55, 0.27824224741176756)	(60, 0.28581243494296615)	(65, 0.2911790009826007)	(70, 0.2981209259630675)	(75, 0.30402452481178577)	(80, 0.30770945396413213)	(85, 0.3102093369878526)	(90, 0.31230197796895787)	(95, 0.31444164459008805)	(100, 0.31622955942383246)	(105, 0.31857707937387236)	(110, 0.32092083727271037)	(115, 0.32254792441756985)	(120, 0.32388721464547726)	(125, 0.32517101461815534)	(130, 0.32668241868855363)	(135, 0.3288474791552973)	(140, 0.32992718785026753)																																						
SRR34661429 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 1.3526743216760986e-05)	(30, 0.00021642789146817577)	(35, 0.0040580229650282965)	(40, 0.020670216309532464)	(45, 0.03176349842159815)	(50, 0.04266199543134248)	(55, 0.05566931170857985)	(60, 0.07533449099710696)	(65, 0.09515928585559189)	(70, 0.10651633946038438)	(75, 0.11811416909443526)	(80, 0.12498034395126315)	(85, 0.13142042639676305)	(90, 0.1365605888191322)	(95, 0.1476944511608482)	(100, 0.1628741623986974)	(105, 0.17339255792405073)	(110, 0.17723144764896748)	(115, 0.17852325162616817)	(120, 0.17999631396247345)	(125, 0.1808295613446259)	(130, 0.18212677601911328)	(135, 0.18301142502548945)	(140, 0.18321973687102758)																																						
SRR34661429 - polya	(1, 0.007717007005162143)	(2, 0.009414613278865648)	(3, 0.014453325127109114)	(4, 0.01602242734025339)	(5, 0.017341284803887587)	(6, 0.019404113144443638)	(7, 0.023211891359961854)	(8, 0.02927187232107078)	(9, 0.035291273052529416)	(10, 0.06147093187424864)	(15, 0.14234191886997588)	(20, 0.2027861709340723)	(25, 0.24775041806090753)	(30, 0.2830646865769054)	(35, 0.3172156551762619)	(40, 0.34533234362662124)	(45, 0.3655521193870356)	(50, 0.384915652301829)	(55, 0.3970193821321867)	(60, 0.4042101988262169)	(65, 0.408774121987552)	(70, 0.4144039525143679)	(75, 0.41869057743975946)	(80, 0.42109292703505624)	(85, 0.42275671645071783)	(90, 0.4240160562441983)	(95, 0.4251969409270215)	(100, 0.42620468329667016)	(105, 0.42763446005468186)	(110, 0.42902500925736486)	(115, 0.42990424756645435)	(120, 0.4306225176312643)	(125, 0.43143412222427)	(130, 0.43236070413461813)	(135, 0.4337296105481544)	(140, 0.4342828543457199)																																						
SRR34661430 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 8.627664303621312e-06)	(25, 1.078458037952664e-05)	(30, 0.00013265033866817767)	(35, 0.002282017208307837)	(40, 0.01602049415378682)	(45, 0.02847991986625395)	(50, 0.04440874508681479)	(55, 0.06558319020397739)	(60, 0.081677019504345)	(65, 0.0991696088799372)	(70, 0.10853386002348017)	(75, 0.11714858283064607)	(80, 0.12233920136731224)	(85, 0.1268460775079164)	(90, 0.1307716647660641)	(95, 0.14074524470105035)	(100, 0.15226749037853662)	(105, 0.1585193116245482)	(110, 0.16108280638076172)	(115, 0.16212998913561374)	(120, 0.16316315193597236)	(125, 0.16370561632906258)	(130, 0.16459426575233557)	(135, 0.16516369159637456)	(140, 0.1652952634770048)																																						
SRR34661430 - polya	(1, 0.005688866150200302)	(2, 0.007317337787508825)	(3, 0.010051228913718827)	(4, 0.011819900095961197)	(5, 0.013561609827254748)	(6, 0.01617687056928996)	(7, 0.025510924887770264)	(8, 0.04205986348015389)	(9, 0.056554339510237694)	(10, 0.09891185740886652)	(15, 0.17656083614145832)	(20, 0.20103859822886996)	(25, 0.21172288201086698)	(30, 0.21827343613339148)	(35, 0.22435917484155832)	(40, 0.22919174530962422)	(45, 0.23247888540930398)	(50, 0.23565494433107453)	(55, 0.2379617660742553)	(60, 0.23962366991074036)	(65, 0.240747423186287)	(70, 0.2420857896113863)	(75, 0.24312434470193472)	(80, 0.24369700592008758)	(85, 0.24409280002001615)	(90, 0.24439692518671885)	(95, 0.24472261951418056)	(100, 0.24501811701657958)	(105, 0.24542469569688774)	(110, 0.2457762730172603)	(115, 0.24607284897769727)	(120, 0.2464567800392084)	(125, 0.24679541586312553)	(130, 0.24702512742520946)	(135, 0.24726885894178677)	(140, 0.24738748932596158)																																						
SRR34661431 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 2.3911560701589103e-06)	(30, 0.0001016241329817537)	(35, 0.0023732223996327183)	(40, 0.01608052457181867)	(45, 0.02971489648386478)	(50, 0.046735145391255895)	(55, 0.0674401658027619)	(60, 0.08438389771590794)	(65, 0.10314371266433968)	(70, 0.1124118335922756)	(75, 0.12066490876842909)	(80, 0.12644074625589793)	(85, 0.1322907095815417)	(90, 0.13693672582586047)	(95, 0.1490802119281625)	(100, 0.16299674025648736)	(105, 0.170756041704153)	(110, 0.1738011789595004)	(115, 0.17510914132987732)	(120, 0.17670284685063825)	(125, 0.1777214793365259)	(130, 0.17923388555090142)	(135, 0.18026925612928024)	(140, 0.1805681506380501)																																						
SRR34661431 - polya	(1, 0.005619216764873439)	(2, 0.00706586618731958)	(3, 0.009176061419234818)	(4, 0.010580865610453178)	(5, 0.012272608530090608)	(6, 0.014568118357443162)	(7, 0.024485438158427242)	(8, 0.040823012007788)	(9, 0.05540308614558195)	(10, 0.09529474286404305)	(15, 0.1591936065268996)	(20, 0.1790605267358149)	(25, 0.18734588251891554)	(30, 0.19292444963059627)	(35, 0.1980977157883851)	(40, 0.20214594301516414)	(45, 0.2052233608774586)	(50, 0.20825295561834997)	(55, 0.21093822388513842)	(60, 0.21310819801880765)	(65, 0.2145369137707276)	(70, 0.21627408865569805)	(75, 0.2176501989740745)	(80, 0.21840819544831486)	(85, 0.21900120215371427)	(90, 0.21944954391686905)	(95, 0.21989190778984846)	(100, 0.22017406420612723)	(105, 0.22063197059356265)	(110, 0.22105520521798075)	(115, 0.22139235822387318)	(120, 0.22173070680780066)	(125, 0.2220606863454826)	(130, 0.22236555874442784)	(135, 0.22273260120119726)	(140, 0.22289161307986283)																																						
SRR34661432 - polya	(1, 0.02438741232593343)	(2, 0.028365743885636778)	(3, 0.0342390085655089)	(4, 0.038491471498835216)	(5, 0.04210657898848813)	(6, 0.04773312543209958)	(7, 0.06044939452603508)	(8, 0.07259341437753263)	(9, 0.08151639058896029)	(10, 0.09504991384050926)	(12, 0.12361611629310784)	(14, 0.14804636164616986)	(16, 0.1789118409950311)	(18, 0.1982877891469196)	(20, 0.21217254322092305)	(22, 0.22489395227811396)	(24, 0.23476782169179627)	(26, 0.24376961067314057)	(28, 0.25269772684782366)	(30, 0.2637794876265322)	(32, 0.2741947665031199)	(34, 0.2955804402878818)	(36, 0.3149358285867486)	(38, 0.3276212579011515)	(40, 0.3500948905749796)	(42, 0.3775440076800646)	(44, 0.39551160589996504)	(46, 0.4077190186316129)	(48, 0.4324867882384482)	(50, 0.4554315842106908)	(52, 0.47044713020088896)	(54, 0.4852142446337413)	(56, 0.4909435903424614)	(58, 0.4975535830889452)	(60, 0.5030824702307035)	(62, 0.5100162806622794)	(64, 0.5152042169080941)	(66, 0.5195354926113371)	(68, 0.5222613864578005)	(70, 0.527101518523331)	(72, 0.5456259460959032)	(74, 0.5487801702136526)	(76, 0.5517664888650577)	(78, 0.5542919241445594)	(80, 0.5565329481239272)	(82, 0.5586129199212915)	(84, 0.5603193877220944)	(86, 0.5618134037083395)	(88, 0.563333119510862)	(90, 0.5646078303982087)	(92, 0.5660247469356224)	(94, 0.567582155802018)	(96, 0.5687746272772778)	(98, 0.569790626680768)	(100, 0.5709316985234736)	(102, 0.5720744836872643)	(104, 0.5732549619149283)	(106, 0.5747712510752803)	(108, 0.5762172940711414)	(110, 0.5777712762953666)	(112, 0.5791402198423964)	(114, 0.580269298437506)	(116, 0.5810402929258206)	(118, 0.5817427545707294)	(120, 0.5824040965095949)	(122, 0.5831956508509312)	(124, 0.5840386048248218)	(126, 0.5845885808931529)	(128, 0.58527048268504)	(130, 0.586058610384206)	(132, 0.587036916723823)	(134, 0.5881557153924217)	(136, 0.5899821156691849)	(138, 0.5917913827350965)
SRR34661432 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.000774421130484889)	(4, 0.0012678576030062342)	(5, 0.0016173751043755205)	(6, 0.0018777999093173416)	(7, 0.0022718637589003604)	(8, 0.0024534757939255777)	(9, 0.002587114838566775)	(10, 0.002713900598867399)	(12, 0.0028766661019560373)	(14, 0.003008591825512091)	(16, 0.0031148177327909917)	(18, 0.0032021971081333134)	(20, 0.003296429767816209)	(22, 0.003371815895562526)	(24, 0.0034883217293522877)	(26, 0.003589407673375758)	(28, 0.003709340149335807)	(30, 0.0038087127722741337)	(32, 0.003980044880788489)	(34, 0.004142810383877128)	(36, 0.004319282455646914)	(38, 0.004519741022608711)	(40, 0.004816145570338546)	(42, 0.0051759429982186946)	(44, 0.005504900646566257)	(46, 0.005965784018469875)	(48, 0.006563733077184978)	(50, 0.0072045151630286694)	(52, 0.007720224809656881)	(54, 0.00847065944494976)	(56, 0.008953815990960245)	(58, 0.009738517047955994)	(60, 0.010763083056871844)	(62, 0.011746529359744247)	(64, 0.012810501753618397)	(66, 0.013617475984721013)	(68, 0.014333644198311022)	(70, 0.01515603831917993)	(72, 0.0159493059816014)	(74, 0.016405049390249584)	(76, 0.016781980028981167)	(78, 0.01712978420926531)	(80, 0.01749300827931575)	(82, 0.017804832716811873)	(84, 0.018082390732605133)	(86, 0.01832739564778066)	(88, 0.018527854214742456)	(90, 0.018733452744959682)	(92, 0.018903071532388897)	(94, 0.019014437402923228)	(96, 0.019106956741520978)	(98, 0.019257728997013612)	(100, 0.019490740664593137)	(102, 0.01992078425696417)	(104, 0.020400514160804364)	(106, 0.021257174703376146)	(108, 0.022458212784061782)	(110, 0.023868276037134935)	(112, 0.025963667724265505)	(114, 0.02871354806592092)	(116, 0.031355489179212284)	(118, 0.03383466478941502)	(120, 0.037086548209017495)	(122, 0.04075134201013957)	(124, 0.04464058087341545)	(126, 0.05107581486921466)	(128, 0.05781773333925457)	(130, 0.06550883169046401)	(132, 0.07754148567142724)	(134, 0.094020207868338)	(136, 0.10727103314083829)	(138, 0.11944760609295357)
SRR34661433 - polya	(1, 0.0129599840569023)	(2, 0.01575488685504368)	(3, 0.020191689072517865)	(4, 0.02358287548077839)	(5, 0.026213870935853843)	(6, 0.02963331723084987)	(7, 0.03664176914125495)	(8, 0.04326871258073073)	(9, 0.048400708011898316)	(10, 0.05613967799441619)	(12, 0.07687395689225573)	(14, 0.09437813073622714)	(16, 0.1192849819105639)	(18, 0.1342358749879825)	(20, 0.14491811217400313)	(22, 0.154253765757077)	(24, 0.16162818320070685)	(26, 0.16842609895493243)	(28, 0.17532433730706903)	(30, 0.1843420671643685)	(32, 0.19305176425625092)	(34, 0.21304704711595704)	(36, 0.229013883121517)	(38, 0.23887093161486095)	(40, 0.25971118508795865)	(42, 0.2854361599832882)	(44, 0.3013408242380301)	(46, 0.3112006987200476)	(48, 0.3311931555910801)	(50, 0.34961860174262893)	(52, 0.36212360162308965)	(54, 0.374411000375687)	(56, 0.3793946314014931)	(58, 0.38477531383593316)	(60, 0.38959362452433666)	(62, 0.3950859335113819)	(64, 0.3996838170832485)	(66, 0.40329401761370914)	(68, 0.40578230064077037)	(70, 0.41090016612857017)	(72, 0.4327351676147576)	(74, 0.43564169696550425)	(76, 0.43807628620776795)	(78, 0.4402607754524224)	(80, 0.4421640788240586)	(82, 0.4439670595977838)	(84, 0.4454379867023668)	(86, 0.4467040296281174)	(88, 0.44809441605550426)	(90, 0.4490934030516043)	(92, 0.45017010473622704)	(94, 0.4515548391862667)	(96, 0.45260186798981716)	(98, 0.4534666205239236)	(100, 0.454438760627625)	(102, 0.4554688334991341)	(104, 0.45661194591758525)	(106, 0.4579048357357346)	(108, 0.45922598544061943)	(110, 0.4607534323186734)	(112, 0.4619558904992691)	(114, 0.46277825320327226)	(116, 0.46339290573976955)	(118, 0.4639877763555519)	(120, 0.46455862606760906)	(122, 0.46525805826431277)	(124, 0.4660465091042334)	(126, 0.4664831243542969)	(128, 0.46713027576053995)	(130, 0.4678452508949482)	(132, 0.46879902207227153)	(134, 0.47003963109996016)	(136, 0.4717338113097536)	(138, 0.47340962259316904)
SRR34661433 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0006104135534868942)	(4, 0.0010456158092136613)	(5, 0.0013310406652422553)	(6, 0.0015119039403494832)	(7, 0.0018001547850516276)	(8, 0.0019866700375059565)	(9, 0.002170359301286735)	(10, 0.002296115797259729)	(12, 0.0024190463045591732)	(14, 0.0025137169251231127)	(16, 0.0026098005400238275)	(18, 0.0027214270926290696)	(20, 0.002782185849110404)	(22, 0.0028485965829388397)	(24, 0.0028966383903891967)	(26, 0.00298424403926926)	(28, 0.0030789146598332)	(30, 0.0031636943200397134)	(32, 0.003258364940603653)	(34, 0.0033982513799443994)	(36, 0.0035437897966322466)	(38, 0.0037684558961795065)	(40, 0.004111813520015884)	(42, 0.004453758149515487)	(44, 0.004807006733709292)	(46, 0.005243621983772834)	(48, 0.005804580735472595)	(50, 0.006369778470182682)	(52, 0.00690247733514694)	(54, 0.007616039475218425)	(56, 0.008051241730945192)	(58, 0.008882082400969021)	(60, 0.00984857052732327)	(62, 0.010841905546076247)	(64, 0.01196947502682287)	(66, 0.01276216484975377)	(68, 0.013461597046457502)	(70, 0.014214723027958693)	(72, 0.014890134320937247)	(74, 0.015376204372787923)	(76, 0.015726626968308177)	(78, 0.015983791937601265)	(80, 0.01629888967470214)	(82, 0.01664507328721207)	(84, 0.016936150120587763)	(86, 0.017242769891667984)	(88, 0.01748580491759332)	(90, 0.017771229773621916)	(92, 0.017971874969443996)	(94, 0.018173933159602855)	(96, 0.01837599134976171)	(98, 0.01855968061354249)	(100, 0.018911516203399516)	(102, 0.019407477215607618)	(104, 0.019989630882359007)	(106, 0.02088264330320095)	(108, 0.022212270974106427)	(110, 0.023759499772875288)	(112, 0.025693889019920563)	(114, 0.028220322894074654)	(116, 0.030750995751239067)	(118, 0.033243517761310556)	(120, 0.036658725073296254)	(122, 0.04060804424458299)	(124, 0.045077345331803007)	(126, 0.05163505204877679)	(128, 0.0581913457714138)	(130, 0.06545131067376488)	(132, 0.07620984955397139)	(134, 0.09021121043707703)	(136, 0.10237285269370132)	(138, 0.113098892704162)
