Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR34661426	(13.0, 1.0)	(14.0, 11.0)	(15.0, 110.0)	(16.0, 504.0)	(17.0, 1254.0)	(18.0, 2343.0)	(19.0, 3930.0)	(20.0, 5442.0)	(21.0, 7297.0)	(22.0, 8611.0)	(23.0, 10143.0)	(24.0, 11491.0)	(25.0, 13403.0)	(26.0, 16979.0)	(27.0, 22787.0)	(28.0, 31430.0)	(29.0, 42610.0)	(30.0, 56723.0)	(31.0, 74679.0)	(32.0, 95783.0)	(33.0, 123011.0)	(34.0, 154139.0)	(35.0, 195551.0)	(36.0, 256903.0)	(37.0, 359730.0)	(38.0, 573064.0)	(39.0, 1455579.0)	(40.0, 9002063.0)								
SRR34661427	(12.0, 1.0)	(13.0, 0.0)	(14.0, 12.0)	(15.0, 126.0)	(16.0, 472.0)	(17.0, 1348.0)	(18.0, 2609.0)	(19.0, 4285.0)	(20.0, 6446.0)	(21.0, 8500.0)	(22.0, 10482.0)	(23.0, 12712.0)	(24.0, 14679.0)	(25.0, 16735.0)	(26.0, 20849.0)	(27.0, 28078.0)	(28.0, 37608.0)	(29.0, 50999.0)	(30.0, 67440.0)	(31.0, 87342.0)	(32.0, 111598.0)	(33.0, 142761.0)	(34.0, 178563.0)	(35.0, 226214.0)	(36.0, 297189.0)	(37.0, 412590.0)	(38.0, 658828.0)	(39.0, 1641059.0)	(40.0, 10507659.0)							
SRR34661428	(12.0, 1.0)	(13.0, 1.0)	(14.0, 11.0)	(15.0, 105.0)	(16.0, 540.0)	(17.0, 1502.0)	(18.0, 2924.0)	(19.0, 4660.0)	(20.0, 6948.0)	(21.0, 9050.0)	(22.0, 10984.0)	(23.0, 13007.0)	(24.0, 15362.0)	(25.0, 18991.0)	(26.0, 25012.0)	(27.0, 34272.0)	(28.0, 47589.0)	(29.0, 64575.0)	(30.0, 87209.0)	(31.0, 115345.0)	(32.0, 149562.0)	(33.0, 194449.0)	(34.0, 245452.0)	(35.0, 316757.0)	(36.0, 416288.0)	(37.0, 588150.0)	(38.0, 948766.0)	(39.0, 2441286.0)	(40.0, 15506197.0)							
SRR34661429	(13.0, 1.0)	(14.0, 10.0)	(15.0, 95.0)	(16.0, 442.0)	(17.0, 1190.0)	(18.0, 2376.0)	(19.0, 4018.0)	(20.0, 6147.0)	(21.0, 7740.0)	(22.0, 9277.0)	(23.0, 10590.0)	(24.0, 12563.0)	(25.0, 15209.0)	(26.0, 19613.0)	(27.0, 27052.0)	(28.0, 36881.0)	(29.0, 50106.0)	(30.0, 66715.0)	(31.0, 86664.0)	(32.0, 111637.0)	(33.0, 141691.0)	(34.0, 179484.0)	(35.0, 229653.0)	(36.0, 300752.0)	(37.0, 417999.0)	(38.0, 670530.0)	(39.0, 1687474.0)	(40.0, 10689616.0)								
SRR34661430	(14.0, 26.0)	(15.0, 175.0)	(16.0, 716.0)	(17.0, 1752.0)	(18.0, 3330.0)	(19.0, 5406.0)	(20.0, 7590.0)	(21.0, 9609.0)	(22.0, 11598.0)	(23.0, 13489.0)	(24.0, 15863.0)	(25.0, 19164.0)	(26.0, 25253.0)	(27.0, 34023.0)	(28.0, 46733.0)	(29.0, 63232.0)	(30.0, 84192.0)	(31.0, 108870.0)	(32.0, 139065.0)	(33.0, 176915.0)	(34.0, 221275.0)	(35.0, 280511.0)	(36.0, 364630.0)	(37.0, 504949.0)	(38.0, 800916.0)	(39.0, 2015810.0)	(40.0, 13589904.0)									
SRR34661431	(13.0, 3.0)	(14.0, 12.0)	(15.0, 114.0)	(16.0, 608.0)	(17.0, 1567.0)	(18.0, 3001.0)	(19.0, 4914.0)	(20.0, 7296.0)	(21.0, 9391.0)	(22.0, 11312.0)	(23.0, 13068.0)	(24.0, 15536.0)	(25.0, 18723.0)	(26.0, 24681.0)	(27.0, 33221.0)	(28.0, 45879.0)	(29.0, 61784.0)	(30.0, 82451.0)	(31.0, 107289.0)	(32.0, 136931.0)	(33.0, 173334.0)	(34.0, 217629.0)	(35.0, 276490.0)	(36.0, 362531.0)	(37.0, 503692.0)	(38.0, 799609.0)	(39.0, 1983240.0)	(40.0, 11834004.0)								
SRR34661432	(2.0, 1848.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 12.0)	(16.0, 44.0)	(17.0, 112.0)	(18.0, 208.0)	(19.0, 442.0)	(20.0, 1067.0)	(21.0, 3073.0)	(22.0, 7459.0)	(23.0, 13923.0)	(24.0, 20956.0)	(25.0, 30163.0)	(26.0, 44273.0)	(27.0, 69233.0)	(28.0, 107570.0)	(29.0, 173964.0)	(30.0, 268930.0)	(31.0, 368328.0)	(32.0, 449633.0)	(33.0, 672669.0)	(34.0, 1083932.0)	(35.0, 2235754.0)	(36.0, 13380180.0)	(37.0, 10249313.0)
SRR34661433	(2.0, 2233.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 7.0)	(16.0, 43.0)	(17.0, 80.0)	(18.0, 190.0)	(19.0, 355.0)	(20.0, 803.0)	(21.0, 1970.0)	(22.0, 5202.0)	(23.0, 11678.0)	(24.0, 21791.0)	(25.0, 35289.0)	(26.0, 53373.0)	(27.0, 81953.0)	(28.0, 124000.0)	(29.0, 195411.0)	(30.0, 295323.0)	(31.0, 417552.0)	(32.0, 517053.0)	(33.0, 765159.0)	(34.0, 1227579.0)	(35.0, 2573242.0)	(36.0, 16723823.0)	(37.0, 12331734.0)
SRR34661434	(2.0, 2148.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 10.0)	(16.0, 49.0)	(17.0, 93.0)	(18.0, 179.0)	(19.0, 361.0)	(20.0, 1077.0)	(21.0, 2972.0)	(22.0, 7881.0)	(23.0, 15989.0)	(24.0, 25376.0)	(25.0, 34187.0)	(26.0, 44216.0)	(27.0, 65251.0)	(28.0, 102367.0)	(29.0, 162498.0)	(30.0, 244872.0)	(31.0, 339596.0)	(32.0, 423308.0)	(33.0, 605191.0)	(34.0, 960377.0)	(35.0, 2012703.0)	(36.0, 12901456.0)	(37.0, 11036492.0)
SRR34661435	(2.0, 2623.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 9.0)	(16.0, 34.0)	(17.0, 93.0)	(18.0, 192.0)	(19.0, 491.0)	(20.0, 1431.0)	(21.0, 3932.0)	(22.0, 9552.0)	(23.0, 18712.0)	(24.0, 31083.0)	(25.0, 49015.0)	(26.0, 75174.0)	(27.0, 115573.0)	(28.0, 174735.0)	(29.0, 272531.0)	(30.0, 403564.0)	(31.0, 549555.0)	(32.0, 665932.0)	(33.0, 941829.0)	(34.0, 1448042.0)	(35.0, 3051713.0)	(36.0, 20058138.0)	(37.0, 18271611.0)
SRR34661436	(2.0, 1867.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 29.0)	(17.0, 65.0)	(18.0, 141.0)	(19.0, 351.0)	(20.0, 965.0)	(21.0, 2682.0)	(22.0, 6274.0)	(23.0, 12235.0)	(24.0, 19526.0)	(25.0, 29913.0)	(26.0, 44237.0)	(27.0, 70575.0)	(28.0, 110747.0)	(29.0, 181091.0)	(30.0, 286916.0)	(31.0, 410020.0)	(32.0, 476200.0)	(33.0, 746076.0)	(34.0, 1218616.0)	(35.0, 2362847.0)	(36.0, 12286333.0)	(37.0, 9811892.0)
SRR34661437	(2.0, 2092.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 6.0)	(16.0, 29.0)	(17.0, 68.0)	(18.0, 144.0)	(19.0, 316.0)	(20.0, 1176.0)	(21.0, 3594.0)	(22.0, 8479.0)	(23.0, 15156.0)	(24.0, 22046.0)	(25.0, 30533.0)	(26.0, 43684.0)	(27.0, 66803.0)	(28.0, 105350.0)	(29.0, 170732.0)	(30.0, 263022.0)	(31.0, 369641.0)	(32.0, 443799.0)	(33.0, 650853.0)	(34.0, 1059380.0)	(35.0, 2230428.0)	(36.0, 13767296.0)	(37.0, 11641604.0)
SRR34661438	(2.0, 2428.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 7.0)	(16.0, 35.0)	(17.0, 97.0)	(18.0, 178.0)	(19.0, 386.0)	(20.0, 1027.0)	(21.0, 2956.0)	(22.0, 7349.0)	(23.0, 14740.0)	(24.0, 24043.0)	(25.0, 36467.0)	(26.0, 52727.0)	(27.0, 80688.0)	(28.0, 124706.0)	(29.0, 202681.0)	(30.0, 314115.0)	(31.0, 425504.0)	(32.0, 526860.0)	(33.0, 769217.0)	(34.0, 1220194.0)	(35.0, 2637611.0)	(36.0, 16984591.0)	(37.0, 13064173.0)
SRR34661439	(2.0, 1639.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 10.0)	(16.0, 26.0)	(17.0, 63.0)	(18.0, 126.0)	(19.0, 321.0)	(20.0, 942.0)	(21.0, 3256.0)	(22.0, 8503.0)	(23.0, 16371.0)	(24.0, 24354.0)	(25.0, 33185.0)	(26.0, 45325.0)	(27.0, 68736.0)	(28.0, 107343.0)	(29.0, 173214.0)	(30.0, 262949.0)	(31.0, 356348.0)	(32.0, 432736.0)	(33.0, 626072.0)	(34.0, 996811.0)	(35.0, 2027868.0)	(36.0, 12707603.0)	(37.0, 10690822.0)
SRR34661440	(2.0, 1766.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 4.0)	(16.0, 26.0)	(17.0, 38.0)	(18.0, 119.0)	(19.0, 294.0)	(20.0, 903.0)	(21.0, 2648.0)	(22.0, 7065.0)	(23.0, 14155.0)	(24.0, 22751.0)	(25.0, 32699.0)	(26.0, 43902.0)	(27.0, 66890.0)	(28.0, 105413.0)	(29.0, 170399.0)	(30.0, 255984.0)	(31.0, 351598.0)	(32.0, 428194.0)	(33.0, 613399.0)	(34.0, 969908.0)	(35.0, 2115792.0)	(36.0, 13502516.0)	(37.0, 11165190.0)
SRR34661441	(2.0, 1165.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 5.0)	(16.0, 24.0)	(17.0, 49.0)	(18.0, 117.0)	(19.0, 219.0)	(20.0, 626.0)	(21.0, 1448.0)	(22.0, 3175.0)	(23.0, 5605.0)	(24.0, 8412.0)	(25.0, 12588.0)	(26.0, 18759.0)	(27.0, 27752.0)	(28.0, 43413.0)	(29.0, 69807.0)	(30.0, 106778.0)	(31.0, 147258.0)	(32.0, 191084.0)	(33.0, 276191.0)	(34.0, 427053.0)	(35.0, 894656.0)	(36.0, 6206669.0)	(37.0, 4103538.0)
SRR34661442	(2.0, 2152.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 23.0)	(17.0, 61.0)	(18.0, 175.0)	(19.0, 380.0)	(20.0, 1105.0)	(21.0, 3069.0)	(22.0, 7527.0)	(23.0, 13931.0)	(24.0, 21760.0)	(25.0, 31965.0)	(26.0, 45720.0)	(27.0, 69695.0)	(28.0, 111819.0)	(29.0, 181366.0)	(30.0, 279142.0)	(31.0, 383653.0)	(32.0, 481865.0)	(33.0, 707558.0)	(34.0, 1152609.0)	(35.0, 2604912.0)	(36.0, 16148750.0)	(37.0, 11469805.0)
SRR34661443	(2.0, 2138.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 8.0)	(16.0, 43.0)	(17.0, 88.0)	(18.0, 171.0)	(19.0, 396.0)	(20.0, 805.0)	(21.0, 2106.0)	(22.0, 5027.0)	(23.0, 10325.0)	(24.0, 17264.0)	(25.0, 27040.0)	(26.0, 40711.0)	(27.0, 66828.0)	(28.0, 105959.0)	(29.0, 170968.0)	(30.0, 258476.0)	(31.0, 369559.0)	(32.0, 449370.0)	(33.0, 673077.0)	(34.0, 1057348.0)	(35.0, 2145222.0)	(36.0, 11638033.0)	(37.0, 10461587.0)
