Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR34661426	(1, 0.6207701030156629)	(2, 0.0014051255627388166)	(3, 0.001461011238529565)	(4, 0.0)	(5, 7.983667970106912e-06)	(6, 0.0002953957148939557)	(7, 7.185301173096221e-05)	(8, 0.0)	(9, 0.0)	(10, 0.000617935900886275)	(15, 1.5967335940213823e-05)	(20, 0.00012135175314562506)	(25, 0.00015967335940213822)	(30, 0.00033850752193253304)	(35, 0.001308664647861033)	(40, 0.0005073533705518761)	(45, 0.000406881114220998)	(50, 0.0033254266744118383)	(55, 0.00011537472358688545)	(60, 0.0015995284163687635)	(65, 0.0029198664023612183)	(70, 0.004449794191907835)	(75, 0.0)	(80, 0.00818430453747178)	(85, 0.012252810133839219)	(90, 0.009452389267441815)	(95, 0.01751180153082658)	(100, 0.008587395084903013)	(105, 0.016617398488466984)	(110, 0.002106570933632238)	(115, 0.002788258043987778)	(120, 0.015899789420230816)	(125, 0.0003885303257632516)	(130, 0.0008195075579084529)	(135, 0.0028921958679691425)	(140, 0.022482694810388736)	(145, 0.008266927271707327)	(150, 0.025467306345478988)
SRR34661427	(1, 0.6588079177385808)	(2, 0.0014504525411928523)	(3, 0.0013817107145960347)	(4, 0.0)	(5, 2.7496730638727057e-05)	(6, 0.0003437091329840882)	(7, 0.00010311273989522645)	(8, 0.0)	(9, 0.0)	(10, 0.0006104274201797406)	(15, 8.249019191618116e-06)	(20, 8.661470151199022e-05)	(25, 0.00015948103770461694)	(30, 0.00031896207540923387)	(35, 0.0013922597840093295)	(40, 0.0005001187038118949)	(45, 0.0004017508706243843)	(50, 0.003244034708773777)	(55, 8.149116383902206e-05)	(60, 0.001534483543323826)	(65, 0.0023581417964354634)	(70, 0.003451659297416891)	(75, 0.0)	(80, 0.006576567347685973)	(85, 0.00922728200084629)	(90, 0.007589295889521536)	(95, 0.013755889592173269)	(100, 0.006750757412523197)	(105, 0.011972692734372497)	(110, 0.0016455371856142437)	(115, 0.0016004462958813658)	(120, 0.012639693783843341)	(125, 0.00023504110281285438)	(130, 0.0004131173005263114)	(135, 0.0018392763345874631)	(140, 0.016253502060164245)	(145, 0.006302930547558087)	(150, 0.016931061977982755)
SRR34661428	(1, 0.6227605508489421)	(2, 0.0015001179167923623)	(3, 0.0014060666367426845)	(4, 0.0)	(5, 1.8810256009935576e-05)	(6, 0.00029155896815400144)	(7, 8.934871604719399e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0006320246019338355)	(15, 1.0345640805464567e-05)	(20, 0.00010627794645613601)	(25, 0.00016741127848842664)	(30, 0.0003461087105828146)	(35, 0.001352087702449023)	(40, 0.000497599591211751)	(45, 0.0003631346830118386)	(50, 0.003221191681771982)	(55, 7.883238564172397e-05)	(60, 0.001480322549667187)	(65, 0.0027682620284254734)	(70, 0.004185015154308697)	(75, 0.0)	(80, 0.009389330005834265)	(85, 0.015072422195363342)	(90, 0.012496694714803693)	(95, 0.02229028823804991)	(100, 0.009273604120001208)	(105, 0.01345364539597158)	(110, 0.0012616287006051682)	(115, 0.0013991868659934514)	(120, 0.011700304010013284)	(125, 0.0002082247744795552)	(130, 0.0003554743737156779)	(135, 0.0017655055525149625)	(140, 0.01716816214824203)	(145, 0.006115064604231751)	(150, 0.017563036665766214)
SRR34661429	(1, 0.6306979292246978)	(2, 0.0013797278081096207)	(3, 0.0013729644365012403)	(4, 0.0)	(5, 2.029011482514148e-05)	(6, 0.0002637714927268393)	(7, 3.381685804190247e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0005884133299291029)	(15, 1.217406889508489e-05)	(20, 0.0001055085970907357)	(25, 0.00015420487267107526)	(30, 0.0002394233549366695)	(35, 0.001290216578760452)	(40, 0.00044790453012310974)	(45, 0.00035320119754526377)	(50, 0.0030026562699777756)	(55, 6.962616181943585e-05)	(60, 0.0011459196671859623)	(65, 0.002044664420656728)	(70, 0.0032528439704736572)	(75, 4.8931820798558505e-06)	(80, 0.0070515099929265735)	(85, 0.010354129817751214)	(90, 0.00850134957179512)	(95, 0.015838783066677048)	(100, 0.007663750784904456)	(105, 0.013348026974491296)	(110, 0.0017270426685276432)	(115, 0.0018049875415748799)	(120, 0.016449649557955987)	(125, 0.00034645129934085165)	(130, 0.0006923640237001531)	(135, 0.002185285297400519)	(140, 0.023560502616318375)	(145, 0.0078373000804994)	(150, 0.02663107501817179)
SRR34661430	(1, 0.6521921061616838)	(2, 0.0017093559901549722)	(3, 0.0014127800297179898)	(4, 0.0)	(5, 2.156916075905328e-05)	(6, 0.00032353741138579917)	(7, 7.549206265668648e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0006492317388475037)	(15, 6.470748227715984e-06)	(20, 0.00012078730025069835)	(25, 0.00017686711822423686)	(30, 0.0002965759604369826)	(35, 0.0012677094286994634)	(40, 0.000537854450786528)	(45, 0.00034942119844580383)	(50, 0.003121409011081634)	(55, 7.74413145133277e-05)	(60, 0.0015308886094670788)	(65, 0.002576773811164551)	(70, 0.0041116673617448505)	(75, 5.31871410300126e-06)	(80, 0.00859367325738837)	(85, 0.013053579304275961)	(90, 0.010799978769799223)	(95, 0.020482180659737524)	(100, 0.01018297238731631)	(105, 0.017201664750985488)	(110, 0.0021856124049531803)	(115, 0.002248720103474439)	(120, 0.0176340281458153)	(125, 0.00035467497078998277)	(130, 0.0004316330946042626)	(135, 0.002476862445755305)	(140, 0.02661662663541484)	(145, 0.008651959131725182)	(150, 0.025519349135076343)
SRR34661431	(1, 0.6698943288353695)	(2, 0.0013928484108675651)	(3, 0.0015064283242001133)	(4, 0.0)	(5, 3.5867341052383655e-05)	(6, 0.0002211819364896992)	(7, 7.771257228016459e-05)	(8, 0.0)	(9, 0.0)	(10, 0.000585833237188933)	(15, 4.782312140317821e-06)	(20, 0.00011118875726238933)	(25, 0.00014227378617445518)	(30, 0.0002905254625243076)	(35, 0.0012475796148074614)	(40, 0.0004782320599489148)	(45, 0.0003517834460073161)	(50, 0.003232591982531189)	(55, 9.46792479033442e-05)	(60, 0.0014008649513792316)	(65, 0.0026115049964862535)	(70, 0.003923480715477868)	(75, 0.0)	(80, 0.007642286945927162)	(85, 0.011726284356823633)	(90, 0.009713886528797547)	(95, 0.01765376981159341)	(100, 0.008006992680773178)	(105, 0.012052245585190488)	(110, 0.0013523629161051648)	(115, 0.0014436612582118646)	(120, 0.011128865773822497)	(125, 0.00016294149813627515)	(130, 0.0005163130839931241)	(135, 0.0014316325657754635)	(140, 0.015505936558568136)	(145, 0.005511430326398306)	(150, 0.015592208544336591)
SRR34661432	(1, 0.030983698503736137)	(2, 0.09313613418840391)	(3, 0.012335911813033631)	(4, 0.006332434730690598)	(5, 0.006332434730690598)	(6, 0.007127415714197209)	(7, 0.0069937766695560115)	(8, 0.006332434730690598)	(9, 0.006332434730690598)	(10, 0.00648868961365569)	(15, 0.006380407721074617)	(20, 0.006566131726704179)	(25, 0.032959500379123687)	(30, 0.9753518887377511)	(35, 0.6045507145682065)	(40, 0.0)	(45, 1.6326426256393807e-06)	(50, 1.7498763340521271e-06)	(55, 1.9642115547769596e-06)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 5.498769760241541e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.00022820808178867006)	(105, 0.0)	(110, 0.00011900812676745664)	(115, 4.296545877872402e-05)	(120, 0.00015996363797989233)	(125, 3.6164926530951755e-05)	(130, 0.00034192372365572687)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR34661433	(1, 0.03022677485229546)	(2, 0.09352892113982522)	(3, 0.01212349140953137)	(4, 0.006310432708038123)	(5, 0.006310432708038123)	(6, 0.0071073615139793465)	(7, 0.006940628182239871)	(8, 0.006310432708038123)	(9, 0.006310432708038123)	(10, 0.006448340955307386)	(15, 0.0063624308996314514)	(20, 0.006456818921328036)	(25, 0.02113217810307545)	(30, 0.7058110183376709)	(35, 0.45740245203397917)	(40, 0.0)	(45, 6.462896119143335e-07)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0003082792814289024)	(105, 0.0)	(110, 0.0001164137577778942)	(115, 1.4285436059840549e-05)	(120, 0.0002549706783719872)	(125, 6.720768161053593e-05)	(130, 0.00036291110423121794)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR34661434	(1, 0.03177450484931171)	(2, 0.09455079832969111)	(3, 0.013298308130940904)	(4, 0.007409796592804425)	(5, 0.007409796592804425)	(6, 0.0082170090707915)	(7, 0.00797898487856454)	(8, 0.007409796592804425)	(9, 0.007409796592804425)	(10, 0.007549851407361158)	(15, 0.007456711506054955)	(20, 0.0076354021315238885)	(25, 0.02145598363497438)	(30, 0.4767417592747506)	(35, 0.30017918710514974)	(40, 0.0)	(45, 4.021550265320572e-06)	(50, 3.470186259124291e-06)	(55, 9.814728546985972e-07)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0002133300196070288)	(105, 0.0)	(110, 3.911024581865029e-05)	(115, 1.0522630653454311e-05)	(120, 0.00014513687635521558)	(125, 3.506504390318822e-05)	(130, 0.00040218010868369006)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR34661435	(1, 0.029823017015329273)	(2, 0.09245091933643203)	(3, 0.011669593563984025)	(4, 0.0056841864286592565)	(5, 0.0056841864286592565)	(6, 0.006564010938775786)	(7, 0.006288794897433916)	(8, 0.0056841864286592565)	(9, 0.0056841864286592565)	(10, 0.0058363137208025575)	(15, 0.005730994826241811)	(20, 0.005848882642375651)	(25, 0.024437450826803167)	(30, 0.454069628271544)	(35, 0.23972804108474927)	(40, 0.0)	(45, 9.810786955352015e-07)	(50, 1.592573299845056e-06)	(55, 5.952946942985239e-07)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.00027484518915275364)	(105, 0.0)	(110, 8.752768231275608e-05)	(115, 4.460186258864899e-05)	(120, 0.00028960082066437006)	(125, 0.00010237307615396637)	(130, 0.0003335058249496429)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
