Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR34661428	(1.0, 48.08123220138071)	(2.0, 8.2758419941559)	(3.0, 2.1606157953495155)	(4.0, 0.9317040111621365)	(5.0, 0.5807485246051405)	(6.0, 0.4450749856190441)	(7.0, 0.35238136780925816)	(8.0, 0.28549580665603425)	(9.0, 0.22133148816288953)	('>10', 3.0528757782700695)	('>50', 1.0527201748933945)	('>100', 2.6775454960463896)	('>500', 1.7828917381666638)	('>1k', 5.577180527518327)	('>5k', 3.984213643293419)	('>10k+', 20.53814646691105)
SRR34661429	(1.0, 9.233463294592838)	(2.0, 2.1013439876208104)	(3.0, 0.8898014066825277)	(4.0, 0.5366507676732221)	(5.0, 0.38122939730455385)	(6.0, 0.3052464401894702)	(7.0, 0.23219376988079904)	(8.0, 0.21063576045609406)	(9.0, 0.18675657084299369)	('>10', 3.2555581897626125)	('>50', 2.0290721507329215)	('>100', 6.893607126555147)	('>500', 3.565146141999226)	('>1k', 13.871793496631835)	('>5k', 9.901677227254886)	('>10k+', 46.40582427182005)
SRR34661430	(1.0, 28.95713408727899)	(2.0, 3.8749196824852934)	(3.0, 1.0017964311028467)	(4.0, 0.5480117859273128)	(5.0, 0.35761810737755756)	(6.0, 0.26238613258872734)	(7.0, 0.20523178816452517)	(8.0, 0.1605991514238502)	(9.0, 0.13877553699178105)	('>10', 1.876092079926655)	('>50', 0.9441924400289179)	('>100', 3.159343276685147)	('>500', 1.4732895033834)	('>1k', 9.972600823869712)	('>5k', 7.397650528301419)	('>10k+', 39.67035864446384)
SRR34661431	(1.0, 57.39662315602948)	(2.0, 8.800159563030622)	(3.0, 2.041043684988405)	(4.0, 0.6592551033221367)	(5.0, 0.28844121811807816)	(6.0, 0.17511899609051038)	(7.0, 0.15447250864319634)	(8.0, 0.09500037051659964)	(9.0, 0.0798366638570525)	('>10', 0.8879929526820455)	('>50', 0.3170048654600847)	('>100', 0.7158756494719525)	('>500', 0.2166696749570537)	('>1k', 1.4765014354593198)	('>5k', 2.085954255457253)	('>10k+', 24.61004990191621)
SRR34661432	(1.0, 33.23351601996483)	(2.0, 9.298456241637334)	(3.0, 2.8829083427071347)	(4.0, 1.3344197525081016)	(5.0, 0.8624522918267059)	(6.0, 0.7056994150648584)	(7.0, 0.5400399604592354)	(8.0, 0.4661150987308599)	(9.0, 0.4022141595310171)	('>10', 5.446401935700041)	('>50', 2.1268147680824017)	('>100', 4.6648872948727504)	('>500', 2.1914751912334345)	('>1k', 6.19435900653803)	('>5k', 3.477741679795328)	('>10k+', 26.172498841347892)
SRR34661433	(1.0, 28.131535071222064)	(2.0, 8.456109669899408)	(3.0, 2.66039067484953)	(4.0, 1.191818393476311)	(5.0, 0.7564107750327701)	(6.0, 0.5694298559490835)	(7.0, 0.43580590583367745)	(8.0, 0.38732259104175015)	(9.0, 0.345606814281788)	('>10', 4.918857008643771)	('>50', 2.0275177844663506)	('>100', 4.571122050609902)	('>500', 2.174111970037354)	('>1k', 6.2035957617087165)	('>5k', 3.6970123991565185)	('>10k+', 33.47335327379096)
SRR34661434	(1.0, 32.83845763225759)	(2.0, 7.991501265481568)	(3.0, 2.3157552797713246)	(4.0, 1.1738723174779242)	(5.0, 0.7601437903652791)	(6.0, 0.5993103405716165)	(7.0, 0.48952745238069456)	(8.0, 0.4080665699263003)	(9.0, 0.3441364827570925)	('>10', 5.180785841163841)	('>50', 1.9999986636440727)	('>100', 4.590019608879633)	('>500', 2.1668985436027595)	('>1k', 6.4854865264768)	('>5k', 3.389085801434434)	('>10k+', 29.266953883809173)
SRR34661435	(1.0, 28.895333765521368)	(2.0, 7.414537497408729)	(3.0, 2.256015262448134)	(4.0, 1.1035940820231198)	(5.0, 0.7398725616303425)	(6.0, 0.5987965391571923)	(7.0, 0.4737184856788579)	(8.0, 0.4363108353841315)	(9.0, 0.4033397117074733)	('>10', 6.0062917183521085)	('>50', 2.696497100257685)	('>100', 6.353085498746728)	('>500', 2.7931648295118996)	('>1k', 7.041865760010489)	('>5k', 3.3634191389398493)	('>10k+', 29.424157213221918)
SRR34661436	(1.0, 36.49177502507379)	(2.0, 10.207243565153483)	(3.0, 3.140405572786553)	(4.0, 1.2915130038015086)	(5.0, 0.7909904923649516)	(6.0, 0.6165072660949711)	(7.0, 0.48256397564629033)	(8.0, 0.4305574745076495)	(9.0, 0.3677904213274601)	('>10', 5.319240412129403)	('>50', 1.9868370421056645)	('>100', 4.206457107524978)	('>500', 2.0178387779550073)	('>1k', 6.1258926423773215)	('>5k', 3.8261784960922975)	('>10k+', 22.698208725058674)
SRR34661437	(1.0, 33.58671821465442)	(2.0, 8.860102292765452)	(3.0, 2.6223346228547917)	(4.0, 1.1953185907081858)	(5.0, 0.7847322145382226)	(6.0, 0.6160190357741674)	(7.0, 0.516824876732376)	(8.0, 0.42603903251952674)	(9.0, 0.3737846297725739)	('>10', 5.10284335220564)	('>50', 1.8800659680468919)	('>100', 4.285230787335602)	('>500', 1.9326521858346652)	('>1k', 6.27063728044359)	('>5k', 3.690364813928452)	('>10k+', 27.8563321018853)
SRR34661438	(1.0, 30.00028037815995)	(2.0, 7.9932300389685045)	(3.0, 2.5547778304309228)	(4.0, 1.2812140289164555)	(5.0, 0.8601069800380634)	(6.0, 0.6863065955826815)	(7.0, 0.5561522084815227)	(8.0, 0.48429246361506056)	(9.0, 0.40919335354501574)	('>10', 5.708478116991307)	('>50', 2.2553760025806375)	('>100', 4.870170803893156)	('>500', 2.101347864715931)	('>1k', 6.2588295350483145)	('>5k', 3.3624893562771034)	('>10k+', 30.61775444275529)
SRR34661439	(1.0, 32.97357830213956)	(2.0, 8.987717109464803)	(3.0, 2.8166379556289733)	(4.0, 1.3861578736994329)	(5.0, 0.843794634838379)	(6.0, 0.6652337795338009)	(7.0, 0.5730781766556481)	(8.0, 0.48339729140958454)	(9.0, 0.4011089347151804)	('>10', 5.607879576004985)	('>50', 2.136295610884858)	('>100', 4.7170242260732556)	('>500', 2.001068676857089)	('>1k', 6.40133841449316)	('>5k', 3.9910301989533865)	('>10k+', 26.014659238648118)
SRR34661440	(1.0, 34.40888326985897)	(2.0, 8.356809344008528)	(3.0, 2.4965538872664483)	(4.0, 1.2256009828434224)	(5.0, 0.9034959037756458)	(6.0, 0.6932004132908963)	(7.0, 0.5824520551383)	(8.0, 0.49506480024411603)	(9.0, 0.43314015849885346)	('>10', 6.549582489665349)	('>50', 2.5140274801846467)	('>100', 5.209348201567292)	('>500', 2.306553901887192)	('>1k', 6.543442722053965)	('>5k', 3.616661224637533)	('>10k+', 23.665183165078847)
SRR34661441	(1.0, 31.51387131978087)	(2.0, 4.461094206709353)	(3.0, 1.5207698021861777)	(4.0, 0.9367599307638762)	(5.0, 0.7281934751179763)	(6.0, 0.5501559017712451)	(7.0, 0.5013790247450343)	(8.0, 0.4253885539875603)	(9.0, 0.389273728309594)	('>10', 5.257620921804182)	('>50', 2.341736942407034)	('>100', 5.9478738960170645)	('>500', 2.7449252415831564)	('>1k', 9.012744902064068)	('>5k', 4.993955458519958)	('>10k+', 28.674256694232874)
SRR34661442	(1.0, 32.38660221784975)	(2.0, 7.554756299714945)	(3.0, 2.1288711980386235)	(4.0, 1.051473460327689)	(5.0, 0.7357201043109539)	(6.0, 0.6002331033134854)	(7.0, 0.4594187920100435)	(8.0, 0.4090445859176834)	(9.0, 0.3854275303050771)	('>10', 5.208661732410647)	('>50', 2.1310559112806384)	('>100', 4.793608290968313)	('>500', 2.1513002147726255)	('>1k', 6.384057327614294)	('>5k', 3.5278617741841876)	('>10k+', 30.09190745698088)
SRR34661443	(1.0, 32.508288439402754)	(2.0, 8.194896506407513)	(3.0, 2.21064138821606)	(4.0, 0.871810347613362)	(5.0, 0.5363771031318617)	(6.0, 0.39858043458135833)	(7.0, 0.3155565842543573)	(8.0, 0.24845320190636772)	(9.0, 0.21778052942301113)	('>10', 3.498818624880487)	('>50', 1.317291629853224)	('>100', 3.3979976388579405)	('>500', 1.4550379124477328)	('>1k', 4.014421720138443)	('>5k', 2.1076073499410604)	('>10k+', 38.70644058894446)
