miRNA	SRR34661416	SRR34661417	SRR34661418	SRR34661419	SRR34661420	SRR34661421	SRR34661422	SRR34661423	SRR34661424	SRR34661425	SRR34661426	SRR34661427	SRR34661428	SRR34661429	SRR34661430	SRR34661431	SRR34661432	SRR34661433	SRR34661434	SRR34661435	SRR34661436	SRR34661437	SRR34661438	SRR34661439	SRR34661440	SRR34661441	SRR34661442	SRR34661443
mmu-miR-1933-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
mmu-miR-1933-3p	2	1	0	0	1	3	0	0	0	0	2	3	1	0	1	2	0	0	0	0	0	0	1	2	0	0	1	0
mmu-miR-1934-5p	2	1	0	0	0	0	4	0	1	2	0	1	0	0	1	0	0	0	2	0	3	2	4	6	6	0	3	2
mmu-miR-1934-3p	0	2	0	0	0	0	0	2	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-1936	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0
mmu-miR-1938	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1941-5p	0	2	0	0	0	0	0	0	5	4	0	1	5	2	3	3	1	0	1	1	0	0	0	0	1	1	0	1
mmu-miR-1941-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0
mmu-miR-1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1943-5p	0	2	0	0	0	0	0	0	2	1	3	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1943-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-1945	2	5	0	5	1	0	5	4	3	1	2	6	3	4	5	2	1	2	2	0	0	4	4	2	1	0	4	0
mmu-miR-1306-5p	63	76	141	62	41	53	82	44	36	56	30	71	136	102	51	38	26	38	47	43	61	48	52	82	35	7	50	7
mmu-miR-1306-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	2	5	0	1	0	1	0
mmu-miR-1946a	0	2	0	0	2	0	0	0	1	0	0	1	3	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0
mmu-miR-1947-5p	0	1	0	0	0	6	0	3	4	4	5	4	8	4	7	3	2	1	2	0	0	0	3	3	2	0	2	0
mmu-miR-1947-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1948-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1948-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
mmu-miR-1949	0	0	0	0	7	4	0	0	13	5	5	6	0	4	10	3	0	0	1	2	1	0	0	1	1	1	1	0
mmu-miR-1950	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669l-5p	3	0	1	0	0	2	0	0	26	31	15	25	22	44	22	29	8	17	9	17	6	13	11	26	18	1	11	5
mmu-miR-669l-3p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	5	4	2	0	2	5	3	5	1	3	0
mmu-miR-669m-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669m-3p	4	2	0	5	1	0	1	5	2	1	0	2	8	2	5	0	13	24	15	13	6	32	12	21	16	4	18	3
mmu-miR-669o-5p	6	0	0	0	0	0	3	3	107	116	85	150	144	132	124	79	11	23	17	15	11	26	24	42	16	4	17	5
mmu-miR-669o-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1951	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1953	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1954	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1955-5p	0	0	0	0	0	0	0	0	1	1	1	1	2	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0
mmu-miR-1955-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1
mmu-miR-669n	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-1956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1958	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	2	1	1	0	0	0	0	0	1	0	2	0	0
mmu-miR-1960	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1964-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-1964-3p	0	1	0	0	0	0	0	2	2	1	2	0	0	0	4	0	0	0	0	0	0	2	0	1	0	0	1	4
mmu-miR-1966-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1966-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1968-5p	0	0	0	0	0	0	0	1	0	5	5	10	6	3	3	3	0	2	1	0	0	1	1	0	1	0	0	0
mmu-miR-1968-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1969	5	6	0	11	2	4	5	0	0	0	2	2	0	0	0	0	7	10	5	6	2	14	8	8	2	3	10	2
mmu-miR-1946b	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0
mmu-miR-1970	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0
mmu-miR-1971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1983	20	15	1	5	30	10	5	11	43	49	61	67	83	32	55	25	21	32	24	22	25	31	26	54	34	2	19	13
mmu-miR-1839-5p	256	139	69	104	159	182	124	116	198	367	527	490	220	126	603	588	203	392	283	349	159	316	256	375	279	59	322	205
mmu-miR-1839-3p	1	0	0	0	2	1	0	1	3	8	1	1	2	0	0	2	7	6	1	5	2	12	3	5	5	2	3	4
mmu-miR-1981-5p	207	180	184	160	175	240	226	197	181	149	169	263	188	49	152	190	32	39	59	85	40	33	51	39	39	5	41	22
mmu-miR-1981-3p	3	7	11	0	0	1	1	3	3	0	7	1	1	1	2	2	1	4	3	3	1	3	7	7	1	0	2	0
mmu-miR-1982-5p	1	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	3	1	0	1	0	1	0
mmu-miR-1982-3p	4	2	5	0	0	2	0	1	2	0	0	0	0	0	1	1	3	1	0	1	0	1	1	3	1	0	1	1
mmu-miR-2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-2137	35	41	32	3	52	22	37	36	57	31	41	25	158	35	61	67	48	58	69	188	50	42	60	34	92	31	133	69
mmu-miR-2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-2183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-664-5p	3	1	16	0	10	3	14	8	0	2	2	2	3	0	3	1	0	5	2	1	1	1	0	2	1	0	1	0
mmu-miR-664-3p	4	0	0	0	0	0	2	0	1	4	5	3	7	1	14	10	5	13	18	9	3	5	17	14	18	1	7	4
mmu-miR-2861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3057-5p	1	1	3	5	0	0	0	0	4	1	3	2	1	0	3	2	0	4	1	1	0	0	0	4	0	0	1	0
mmu-miR-3057-3p	3	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-1251-5p	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	1	2	0	1	1	1	0	1	0	0	6	0
mmu-miR-1251-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3060-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3060-3p	0	0	0	0	8	0	0	0	0	4	0	4	1	2	1	1	0	0	2	0	1	1	0	1	0	0	0	0
mmu-miR-3061-5p	0	3	0	0	3	0	0	0	0	1	2	1	2	0	1	2	1	0	0	0	0	1	0	1	0	0	0	0
mmu-miR-3061-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
mmu-miR-3062-5p	3	3	0	2	0	2	0	1	2	3	2	5	3	2	4	2	1	2	1	3	2	0	3	4	1	1	5	1
mmu-miR-3062-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3063-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3063-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3064-5p	2	1	0	0	8	1	0	0	2	3	11	9	1	0	6	3	2	2	2	0	0	2	1	2	4	0	3	0
mmu-miR-3064-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3065-5p	4	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	1	0	0	1	0	0	0
mmu-miR-3065-3p	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-3066-5p	6	15	0	0	7	1	8	3	0	10	2	5	9	5	4	5	4	10	4	0	0	2	4	14	4	0	6	1
mmu-miR-3066-3p	0	9	1	3	4	3	3	2	1	1	0	0	0	0	3	0	4	2	3	0	4	4	7	7	0	0	3	0
mmu-miR-3067-5p	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3067-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3068-5p	20	20	0	1	18	16	30	15	31	62	128	162	23	17	127	122	10	41	30	32	14	36	18	19	39	3	39	27
mmu-miR-3068-3p	2	0	0	0	2	0	0	1	0	2	2	4	0	2	4	3	1	4	1	6	2	2	0	1	2	0	3	2
mmu-miR-3069-5p	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	1	1	3	0	1	0	2	0	0	0	0
mmu-miR-3069-3p	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-3070-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3070-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3070-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
